catalogue_id,index,num,title,text,line_start
BO0624_4466,1,1,"Vaso a pancia, con due anse a testa di chimera, decorato con mascheroni e soggetti mitologici in azzurro sopra fondo bianco, alt. m. 0,40.   | Savona        |","| 1. Vaso a pancia, con due anse a testa di chimera, decorato con mascheroni e soggetti mitologici in azzurro sopra fondo bianco, alt. m. 0,40.   | Savona        |
|-------------------------------------------------------------------------------------------------------------------------------------------------|---------------|",5
BO0624_4466,2,2,Piatto decorato con stemma in colori.                                                                                                        | Pesaro        |,| 2. Piatto decorato con stemma in colori.                                                                                                        | Pesaro        |,7
BO0624_4466,3,3,Lotto di tre mattoni.                                                                                                                        | Persia        |,| 3. Lotto di tre mattoni.                                                                                                                        | Persia        |,8
BO0624_4466,4,4,"Vaso a due manichi decorato con fregi azzurro sopra fondo bianco, alt. m. 0,25.                                                              | Moustiers     |","| 4. Vaso a due manichi decorato con fregi azzurro sopra fondo bianco, alt. m. 0,25.                                                              | Moustiers     |",9
BO0624_4466,5,5,Piccolo boccale decorato a fogliami in colori                                                                                                | Persia        |,"| 5. Piccolo boccale decorato a fogliami in colori                                                                                                | Persia        |
| •6. Due vasi di forma sferica con medaglioni.                                                                                                   | Caltagirone   |",10
BO0624_4466,6,7,"Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |","| 7. Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |",12
BO0624_4466,7,8,"Paio vasi di forma sferica decorati con fregi in colori, e meda- glioni.                                                                     | Caltagirone   |","| 8. Paio vasi di forma sferica decorati con fregi in colori, e meda- glioni.                                                                     | Caltagirone   |",13
BO0624_4466,8,9,"Vaso di forma cilindrica con iscrizione ed ornati in colori sopra fondo bleu, alt. m. 0,25.                                                  | Caltagirone   |","| 9. Vaso di forma cilindrica con iscrizione ed ornati in colori sopra fondo bleu, alt. m. 0,25.                                                  | Caltagirone   |",14
BO0624_4466,9,10,"Vaso cilindrico decorato da un lato con fregi e testa di donna; dall'altro iscrizione col piccolo medaglione di Castelli. alt. m. 0,20.     |               |","| 10. Vaso cilindrico decorato da un lato con fregi e testa di donna; dall'altro iscrizione col piccolo medaglione di Castelli. alt. m. 0,20.     |               |
|                                                                                                                                                 | Casteldurante |",15
BO0624_4466,10,11,"Vaso di forma sferica e collo lungo con fregi su fondo bleu e aran- cione, nel centro ritratto colla scritta - Carone. alt. m. 0,33.        | Casteldurante |","| 11. Vaso di forma sferica e collo lungo con fregi su fondo bleu e aran- cione, nel centro ritratto colla scritta - Carone. alt. m. 0,33.        | Casteldurante |",17
BO0624_4466,11,12,Cavolo con foglia in majolica colorata di                                                                                                   | Abruzzo       |,| 12. Cavolo con foglia in majolica colorata di                                                                                                   | Abruzzo       |,18
BO0624_4466,12,13,"Vaso di forma cilindrica, decorato con figura saera,                                                                                        | Abruzzo       |","| 13. Vaso di forma cilindrica, decorato con figura saera,                                                                                        | Abruzzo       |",19
BO0624_4466,13,13,"Vaso di forma cilindrica, decorato con figura saera,","13. Vaso di forma cilindrica, decorato con figura saera,",19
BO0624_4466,14,14,"Vaso a due manichi e due medaglioni con figura, e stemma. alt. m. 0,00. Abruzzo","14. Vaso a due manichi e due medaglioni con figura, e stemma. alt. m. 0,00. Abruzzo",22
BO0624_4466,15,15,"Vaso alndrico, decorato con ngura e paesaggio birm. urue) Abruzzo","15. Vaso alndrico, decorato con ngura e paesaggio birm. urue) Abruzzo",23
BO0624_4466,16,16,"Vaso di forma cilindrica, decorato con figura e paesaggio. Abruzzo","16. Vaso di forma cilindrica, decorato con figura e paesaggio. Abruzzo",24
BO0624_4466,17,17,"Paio vasi con coperchi e due anse a guisa di sfingi, decorati a fregi ed ornati in rilievo. Terraglia bianca fabbrica di Del Vecchio. Napoli","17. Paio vasi con coperchi e due anse a guisa di sfingi, decorati a fregi ed ornati in rilievo. Terraglia bianca fabbrica di Del Vecchio. Napoli",25
BO0624_4466,18,18,"Vaso con due manichi, decorato a nori, alt. m. 0.20. Marsigua","18. Vaso con due manichi, decorato a nori, alt. m. 0.20. Marsigua",26
BO0624_4466,19,19,Otto fregi in majolica colorata di,19. Otto fregi in majolica colorata di,27
BO0624_4466,20,7,Persia,7. Persia,28
BO0624_4466,21,20,"Due vasi con medaghon, majonca al Siciaa","20. Due vasi con medaghon, majonca al Siciaa",29
BO0624_4466,22,21,Due vasi con fregi e medaglone. Casteldan ante,21. Due vasi con fregi e medaglone. Casteldan ante,30
BO0624_4466,23,22,"Vaso cilindrico, decorato con fregi e medaglone. Caltagurone","22. Vaso cilindrico, decorato con fregi e medaglone. Caltagurone",31
BO0624_4466,24,23,"Vaso di forma cilindrica, decorato con fregi e medaglione. Caltagirone","23. Vaso di forma cilindrica, decorato con fregi e medaglione. Caltagirone",32
BO0624_4466,25,24,"Vaso con manico e becco, decorato da un lato con fregi e testa di donna. dall'altro iscrizione col piccolo medaglione di Castelli.","24. Vaso con manico e becco, decorato da un lato con fregi e testa di donna. dall'altro iscrizione col piccolo medaglione di Castelli.

Casteldamante",33
BO0624_4466,26,25,"Vaso di forma cilindrica, decorato con trofer darmi ed ornati in color1, alt. m. 0,02. Casteldurante","25. Vaso di forma cilindrica, decorato con trofer darmi ed ornati in color1, alt. m. 0,02. Casteldurante",37
BO0624_4466,27,26,Due piattini con Amorini. A 011220,26. Due piattini con Amorini. A 011220,38
BO0624_4466,28,27,La fuga in Egitto: mattone in cornice. Abruzzo,27. La fuga in Egitto: mattone in cornice. Abruzzo,39
BO0624_4466,29,28,Mattone. Soggetto bibblico in cornice intagliata e dorata. Abruzzo,28. Mattone. Soggetto bibblico in cornice intagliata e dorata. Abruzzo,40
BO0624_4466,30,29,"Piatto col bordo a fiori e putti, nel fondo soggetto mitologico. Ilminato in oro. A m'1.220","29. Piatto col bordo a fiori e putti, nel fondo soggetto mitologico. Ilminato in oro. A m'1.220",41
BO0624_4466,31,30,Mattone circolare rappresentante il ratto di Galatea. Abruzzo,30. Mattone circolare rappresentante il ratto di Galatea. Abruzzo,42
BO0624_4466,32,31,Piatto con medaglone. Amano,31. Piatto con medaglone. Amano,43
BO0624_4466,33,32,Coppa con piede e ornati in colori.,32. Coppa con piede e ornati in colori.,44
BO0624_4466,34,33,Vaso con manico e becco ed ornati raffaelleschi. Nel centro stemma genuino con seriod. naen 2d.,33. Vaso con manico e becco ed ornati raffaelleschi. Nel centro stemma genuino con seriod. naen 2d.,45
BO0624_4466,35,34,Ire piatti con Iregi e ngure in bieu.,34. Ire piatti con Iregi e ngure in bieu.,46
BO0624_4466,36,35,Vaso a pancia con iserizion e fregi in colori. Caffagiolo,35. Vaso a pancia con iserizion e fregi in colori. Caffagiolo,47
BO0624_4466,37,36,"Vaso cilindrico con iscrizione e fregi sopra fondo bieu; e piccolo medaglione, alt. m. 0,15","36. Vaso cilindrico con iscrizione e fregi sopra fondo bieu; e piccolo medaglione, alt. m. 0,15",48
BO0624_4466,38,37,Due vasettini con fiori. Terraglia di Del Vecchio. Napol,37. Due vasettini con fiori. Terraglia di Del Vecchio. Napol,49
BO0624_4466,39,14,no. Gran piatto a sbalzo in terragha bianca Wedarood.,14. no. Gran piatto a sbalzo in terragha bianca Wedarood.,50
BO0624_4466,40,39,Vaso a forma di civetta (manca la testa). Caffagiolo,39. Vaso a forma di civetta (manca la testa). Caffagiolo,51
BO0624_4466,41,40,"Piatto decorato con arabeschi in colori sopra fondo bianco, e me- daglione con Amorino. Pesaro                                                                    |                                                                                                                                            |","| 40. Piatto decorato con arabeschi in colori sopra fondo bianco, e me- daglione con Amorino. Pesaro                                                                    |                                                                                                                                            |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------|",52
BO0624_4466,42,41,Idem.                                                                                                                                                             | Pesaro                                                                                                                                     |,| 41. Idem.                                                                                                                                                             | Pesaro                                                                                                                                     |,54
BO0624_4466,43,42,Coppa decorata a paesaggio.                                                                                                                                       | Moustiers                                                                                                                                  |,| 42. Coppa decorata a paesaggio.                                                                                                                                       | Moustiers                                                                                                                                  |,55
BO0624_4466,44,43,Gran piatto con ornati.                                                                                                                                           | Rodi                                                                                                                                       |,| 43. Gran piatto con ornati.                                                                                                                                           | Rodi                                                                                                                                       |,56
BO0624_4466,45,44,Due vasi con medaglioni.                                                                                                                                          | Caltagirone                                                                                                                                |,| 44. Due vasi con medaglioni.                                                                                                                                          | Caltagirone                                                                                                                                |,57
