catalogue_id,occurrences,types
BO0614_87918,21,landschaft|portrat|stilleben|tafel
BO0624_15271,14,tafel
BO0624_15351,1,dessins
BO0624_15368,3,tafel
BO0624_4389,1,sculture
BO0624_4399,18,bronze|dessins|sculptures|tableaux
BO0624_4454,19,peinture|sculpture|sculptures|tableaux|tapisserie
BO0624_4466,2,dipinti|miniature
BO0624_4482,3,dessin|estampes|gravures
BO0624_4513,8,tableaux
BO0624_4554,8,tableaux
BO0624_4671,4,nature morte|tableaux
BO0624_4840,11,portrait|tableaux
BO0624_50014,5,buste|gravures|sculptures|tableaux|tapisserie
BO0624_50063,4,dessin|dessins|estampes|sculptures
BO0624_50064,5,bronze|dessins|estampes|marbre|sculptures
BO0624_50794,49,nature morte|paysage|peinture|portrait
BO0624_51192,112,bronze|bust|marble|panel|relief|sculpture|statuette|tapestry
BO0624_51205,3,bronze|marble|relief
BO0624_5287,6,dessins|gravures|marbre|sculptures|tableaux
BO0624_5444,40,dessins|estampes|sculptures|tableau|tableaux
BO0624_5514,1,aquarelle
BO0624_5670,1,portraits
BO0624_5718,20,estampe|peinture|sculptures|tableaux|tapisserie|terre cuite
BO0624_5725,20,estampe|peinture|sculptures|tableaux|tapisserie|terre cuite
BO0624_5739,16,bust|landscape|marble|panel|picture|portrait
BO0624_5750,9,landscape|panel|picture|portrait|portraits
BO0624_5760,1,bust
BO0624_6334,2,busto|ritratto
BO0624_65729,1,marbre
BO0624_65735,14,dessins|nature morte|paysage|portrait|tapisserie
BO0624_65875,3,dipinti
BO0624_65877,10,tavola
BO0624_66050,2,drawing
BO0624_66052,1,drawing
BO0624_66054,9,drawings|landscape|pictures|portrait
BO0624_66056,4,engravings|paintings|portrait|prints
BO0624_81745,10,marbre|portrait|sculptures|tapisserie|terre cuite
BO0624_81747,16,dessins|sculptures|tableaux|tapisserie|terre cuite
BO0624_81748,23,bronze|marbre|sculpture|sculptures|tableaux|terre cuite
BO0624_81750,1,sculture
BO0624_81752,10,estampes|marbre|portrait|sculpture|sculptures|tableaux|tapisserie|terre cuite
BO0624_81753,5,bronzo|disegni|miniature|stampe
BO0624_81754,3,dessins|gravures|tableaux
BO0624_81755,1,bronze
BO0624_81757,7,aquarelle|landschaft|portrait|zeichnungen
BO0624_81759,2,dipinto|marmo
BO0624_81762,4,paesaggio|ritratto
BO0624_81765,11,bas-relief|bronze|marbre|panneau|portrait|tableau
BO0624_81766,11,bas-relief|bronze|marbre|panneau|portrait|tableau
BO0624_81769,11,dipinto|disegni|ritratto|stampe
BO0624_81770,6,disegni|incisioni|miniature
BO0624_81775,6,incisioni|miniature
BO0624_81776,2,miniature
BO0624_81777,4,dipinti|miniature
BO0624_81778,2,incisioni|miniature
BO0624_81779,3,incisioni|miniature
BO0624_81783,4,incisioni|miniature
BO0624_81784,5,disegni|incisioni|miniature
BO0624_81787,5,incisioni|miniature
BO0624_81788,2,miniature
BO0624_81789,14,disegni|incisioni|miniature
BO0624_81790,6,incisioni|miniature
BO0624_81792,1,sculture
BO0624_81793,8,tableaux
BO0624_81794,3,incisioni|miniature
BO0624_81795,4,incisioni|miniature
BO0624_81796,3,incisioni|miniature
BO0624_81797,2,incisioni
BO0624_81799,13,disegni|miniature|pittura|ritratto|tela
BO0624_81800,12,disegni|miniature|pittura|ritratto|tela
BO0624_81804,4,dipinti|miniature|sculture|tavola
BO0624_81805,2,marbre|sculptures
BO0624_81807,18,bronzo|marmo|miniature|sculture
BO0624_81808,11,arazzo|bronzo|dipinti|marmo
BO0624_81809,1,sculture
BO0624_81812,9,bronzo|marmo|miniature|sculture
BO0624_81813,2,dessins|tableaux
BO0624_81814,5,bronze|dessins|gravures|marbre|tableaux
BO0624_81815,5,miniature
BO0624_81816,2,incisioni|stampe
BO0624_81819,4,dessins|sculptures|tableaux
BO0624_81820,5,estampes|portrait|portraits
BO0624_81821,6,pittura|sculture
BO0624_81823,2,busto|marmo
BO0624_81824,2,aquarelles|tableaux
BO0624_81825,2,marmo|sculture
BO0624_81828,6,bronze|dessins|gravures|marbre|tableaux
BO0624_81829,7,dipinto|miniature|tavola|tela
BO0624_81832,7,stampe
BO0624_81835,6,dipinti|disegni|marmo|miniature|sculture|stampe
BO0624_81836,24,incisioni|miniature|tela
BO0624_81839,10,miniature|tavola
BO0624_81841,1,tavola
BO0624_81853,2,sculptures|tableaux
BO0624_81856,15,disegni|pittura|stampe|tavola
BO0624_81857,1,tableaux
BO0624_81859,2,dipinti
BO0624_81865,1,marmo
BO0624_81866,13,tavola
BO0624_81867,5,opere
BO0624_81869,4,opere
BO0624_81875,6,bronzo|ritratto|tavola
BO0624_81877,2,dipinti
BO0624_81885,2,dipinto|opera
BO0624_81886,6,bronzo|busto|marmo|ritratto|terracotta
BO0624_81889,1,ritratto
BO0624_81890,1,ritratto
BO0624_83278,3,portrait|sculptures|tableaux
BO0624_83618,1,opere
BO0624_83627,6,paysage|portrait|portraits|tableaux
BO0624_83629,9,buste|paysage|portrait
BO0624_83630,1,tableaux
BO0624_83633,7,aquarelles|dessins|peinture|portrait|sculptures|tableaux
BO0624_83634,5,portrait|tableaux
BO0624_83635,4,portrait|sculptures|tableaux
BO0624_83636,7,aquarelles|dessins|gravures|portrait|tableaux
BO0624_83638,1,tableaux
BO0624_83639,2,portrait
BO0624_83642,5,aquarelles|bronze|tableaux|tapisserie
BO0624_83644,3,paysage|portrait|sculptures
BO0624_83645,3,panneau|portrait
BO0624_83646,1,portrait
BO0624_83647,1,tapisserie
BO0624_83649,1,paysage
BO0624_83650,14,aquarelles|dessins|paysage|portrait|sculptures|tableaux
BO0624_83653,1,tableaux
BO0624_83655,4,dessins|gravures|portrait
BO0624_83656,62,aquarelles|buste|dessin|dessins|marbre|panneau|portrait|portraits|tableaux
BO0624_83657,2,dessins|tableaux
BO0624_83658,7,buste|nature morte|portrait|sculptures|tableaux
BO0624_83659,3,gravures|tableaux|tapisserie
BO0624_83660,13,dessins|marbre|portrait|portraits|sculptures|tableaux|terre cuite
BO0624_83662,4,gravures|panneau|tableaux
BO0624_83663,3,aquarelles|dessins|opera
BO0624_83664,9,aquarelles|dessins|oeuvres|portrait|tableaux
BO0624_83666,10,aquarelles|buste|dessins|esquisse|nature morte|portrait|tableaux
BO0624_83667,5,dessins|paysage|portrait
BO0624_83668,2,aquarelles|dessins
BO0624_83669,2,aquarelles|tableaux
BO0624_83675,2,paysage|tableaux
BO0624_83679,5,buste
BO0624_83682,2,portrait|sculptures
BO0624_83686,13,dessins|paysage|portrait|portraits|tableaux
BO0624_83687,5,portrait|sculptures
BO0624_83689,5,aquarelles|dessins|portrait|tapisserie
BO0624_83690,4,dessins|gravures|panneau|tableaux
BO0624_83692,5,dessins|portrait
BO0624_83693,4,paysage|portrait|tableaux
BO0624_83694,1,tableaux
BO0624_83695,16,buste|dessins|gravures|nature morte|paysage|portrait|sculptures
BO0624_83696,6,aquarelles|dessins|sculptures|tableaux
BO0624_83701,58,nature morte|paysage|portrait|portraits
BO0624_83702,6,aquarelles|dessins|portrait|relief|sculptures|tableaux
BO0624_83706,6,nature morte|portrait|tableaux
BO0624_83707,1,tableaux
BO0624_83709,3,paysage|peinture|sculptures
BO0624_83710,3,portrait|sculptures|tableaux
BO0624_83711,5,aquarelles|dessins|gravures|sculptures|tableaux
BO0624_83712,3,nature morte|panneau|tableaux
BO0624_83716,1,sculptures
BO0624_83718,5,bronze|estampes|peintures
BO0624_83720,38,bas-relief|buste|paysage|paysages|portrait|sculptures|tapisserie
BO0624_83723,3,portrait|sculptures
BO0624_83724,20,portrait
BO0624_83726,5,aquarelles|dessins|gravures|nature morte|portrait
BO0624_83727,1,portrait
BO0624_83729,1,paysage
BO0624_83730,3,dessins|sculptures|tableaux
BO0624_83731,7,buste|portrait|tapisserie
BO0624_83734,8,aquarelles|dessins|paysage|portrait|sculptures|tableaux
BO0624_83735,10,aquarelles|portrait|sculptures|tableaux
BO0624_83738,6,portrait|sculptures|tableaux
BO0624_83741,1,tableaux
BO0624_83742,2,aquarelles|tapisserie
BO0624_83743,3,sculptures|tableaux|tapisserie
BO0624_83744,16,portrait|tableaux|tapisserie
BO0624_83745,11,paysage|portrait|portraits
BO0624_83746,50,aquarelles|buste|dessins|portrait|portraits|sculptures|tableaux
BO0624_83748,2,tableau|tableaux
BO0624_83749,9,aquarelles|dessins|gravures|peintures|portrait|sculptures|tapisserie
BO0624_83752,4,dessins|gravures|tableaux|tapisserie
BO0624_83754,6,aquarelles|dessins|gravures|paysage|tableaux
BO0624_83755,40,bas-relief|buste|marbre|panneau|paysage|portrait|portraits|relief|sculptures|tableaux|terre cuite
BO0624_83757,17,dessins|esquisse|portrait
BO0624_83758,8,portrait|portraits|sculptures|tableaux|tapisserie
BO0624_83759,4,gravures|peintures|portrait|sculptures
BO0624_83760,1,gravures
BO0624_83762,3,gravures|portrait|tableaux
BO0624_83764,16,dessins|gravures|paysage|paysages|portrait
BO0624_83766,2,portrait
BO0624_83767,11,portrait|tableaux|tapisserie
BO0624_83768,6,dessins|marbre|sculptures|tableaux|tapisserie|terre cuite
BO0624_83772,2,tableaux
BO0624_83773,11,aquarelles|dessins|nature morte|portrait|tableaux
BO0624_83775,4,gravures|portrait|sculpture|tableaux
BO0624_83776,1,portrait
BO0624_83778,3,aquarelles|dessins|tapisserie
BO0624_83781,2,portrait|tableaux
BO0624_83784,1,tapisserie
BO0624_83785,1,sculptures
BO0624_83786,1,sculptures
BO0624_83791,5,aquarelles|bronze|dessins|sculptures|tapisserie
BO0624_83792,3,aquarelles|dessins|gravures
BO0624_83794,2,dessins|peintures
BO0624_83795,11,portrait
BO0624_83796,2,portrait
BO0624_83798,2,paysage|tableaux
BO0624_83803,2,aquarelles|gravures
BO0624_83806,4,dessins|gravures|portrait|tableaux
BO0624_83809,7,portrait|sculptures|tableaux
BO0624_83810,3,portrait
BO0624_83811,6,aquarelle|portrait|sculptures|tableaux|tapisserie
BO0624_83812,26,paysage|portrait
BO0624_83813,9,marbre|portrait|tableaux
BO0624_83814,1,sculptures
BO0624_83815,1,peintures
BO0624_83816,1,sculptures
BO0624_83818,1,gravures
BO0624_83819,4,gravures|nature morte|sculptures|tableaux
BO0624_83825,2,tableaux
BO0624_83827,4,aquarelles|dessins|peintures|tableaux
BO0624_83828,5,aquarelles|dessins|portrait|tableaux
BO0624_83829,31,aquarelles|buste|dessins|portrait|tableaux
BO0624_83830,14,nature morte|paysage|portrait
BO0624_83832,1,tableaux
BO0624_83835,7,peintures|portrait|sculptures|tableaux
BO0624_83837,1,tableaux
BO0624_83838,10,buste|portrait|portraits|tableaux
BO0624_83840,35,buste|paysage|portrait|tableaux
BO0624_83842,15,paysage|peintures|portrait|sculptures|tableaux
BO0624_83843,2,dessins|portrait
BO0624_83844,4,dessins|gravures|sculptures|tableaux
BO0624_83845,3,aquarelles|gravures|tableaux
BO0624_83846,10,nature morte|paysage|portrait|portraits|tableaux|tapisserie
BO0624_83847,4,aquarelles|dessins|sculptures|tableaux
BO0624_83850,4,aquarelles|dessins|gravures|nature morte
BO0624_83852,2,aquarelles|dessins
BO0624_83853,9,aquarelles|dessins|gravures|nature morte|portrait|tableaux
BO0624_83858,3,portrait|tableaux
BO0624_83863,5,portrait|tableaux
BO0624_83865,1,tableaux
BO0624_83866,3,dessins|portrait|tableaux
BO0624_83868,14,peinture|portrait
BO0624_83873,1,tableaux
BO0624_83875,5,aquarelles|portrait|sculptures|tapisserie
BO0624_83876,2,aquarelles|portrait
BO0624_83877,1,sculptures
BO0624_83880,3,gravures|sculpture|tableaux
BO0624_83881,3,aquarelles|dessins|tableaux
BO0624_83882,3,dessin|estampes|sculptures
BO0624_83883,3,paysage|sculptures|tapisserie
BO0624_83884,2,sculptures|tableaux
BO0624_83885,2,sculptures|tableau
BO0624_83886,30,buste|paysage|portrait|tableaux
BO0624_83887,10,aquarelles|dessin|dessins|gravures|marbre|portrait|tableaux|tapisserie
BO0624_83888,1,sculptures
BO0624_83889,26,aquarelles|dessin|dessins|estampes|portrait|sculptures|tableaux
BO0624_83890,110,buste|esquisse|paysage|portrait|portraits
BO0624_83894,9,aquarelles|dessins|nature morte|paysage|tableaux|tapisserie
BO0624_83895,52,paysage|portrait
BO0624_83896,6,aquarelles|dessins|sculptures|tableaux|tapisserie
BO0624_83898,20,tapisserie
BO0624_83900,3,sculptures|tableaux|tapisserie
BO0624_83901,4,bronze|sculptures|tableaux|tapisserie
BO0624_83902,3,portrait|portraits
BO0624_83904,4,portrait|sculptures|tapisserie
BO0624_83905,5,dessins|estampes|gravures|sculptures|tableaux
BO0624_83907,11,buste|dessins|estampes|portrait|sculptures|tableaux
BO0624_83909,7,aquarelles|bronze|marbre|portrait|sculptures|tableaux
BO0624_83912,10,dessins|portrait|tableaux
BO0624_83913,4,dessins|esquisse|paysage
BO0624_83915,3,dessins|sculptures|tableau
BO0624_83916,3,aquarelles|portrait|tableaux
BO0624_83917,4,dessins|gravures|paysage|sculptures
