index,num,title,text,catalogue_id
1,1,Cristo insultato e deriso dagli sgherri. Composizione di,"1. Cristo insultato e deriso dagli sgherri. Composizione di

Tavola. Alt. 0.86, largh. 0.57.

- molte figure a diversi colori.

## FRANZ FLORIS

(FRANZ DE VRIENELT, 1517-1570).",BO0624_81749
2,2,"Adone morente sostenuto da Venere, nel fondo a paesaggio. Cupido piangente.","2. Adone morente sostenuto da Venere, nel fondo a paesaggio. 2. Cupido piangente.

Tavola. Alt. 0.81, largh. 1.25.

## LAER

(PIETRO di, detto il BAMBOCCIO, 1590-1658).",BO0624_81749
3,3,"Interno di una stalla. Abbozzo. Tela. Alt. 0.40, largh. 0.52. Ester.","3. Interno di una stalla. Abbozzo. Tela. Alt. 0.40, largh. 0.52. 7. Ester.

## BRAMER

## (LEONARD, I595-1674).",BO0624_81749
4,4,"La visita di una dama ad un cavaliere armato, il quale la","4. La visita di una dama ad un cavaliere armato, il quale la

Tavola. Alt. 0.34, largh. O.3I.

- accoglie in ginocchio ai piedi di una scala.

## REMBRANDT (Scuola del)

(REMBRANDT HARMEUSZ VAN RIJN, 1606-1669).",BO0624_81749
5,5,"Scena biblica. Un patriarca riccamente vestito, contornato da tre personaggi. Tela. Alt. I.05, largh. 0.85.","5. Scena biblica. Un patriarca riccamente vestito, contornato da tre personaggi. Tela. Alt. I.05, largh. 0.85.",BO0624_81749
6,6,Mezza figura di un vecchio.,"6. Mezza figura di un vecchio.

## EECKHOUT

(GERBRANDT VAN DE, 1621-1674).

Tela. Alt. 1.60, largh. 2.1r

## BREENBERGH

(BARTOLOMEO, 1620-1660).",BO0624_81749
7,8,Giuseppe fa distribuire il frumento a suoi fratelli. Dipinto di grande effetto. Fu anche dipinto all'acquaforte dall'autore in collaborazione con Episcopio.,"8. Giuseppe fa distribuire il frumento a suoi fratelli. Dipinto 2. di grande effetto. Fu anche dipinto all'acquaforte dall'autore in collaborazione con Episcopio.

Tela. Alt. 1.21, largh. 1.76.

Tela. Alt. o.61, largh. 0.47.

## POORTER

(WILLIAM VAN DE, allievo di REMBRANDT, 1635).",BO0624_81749
8,9,Davide a cavallo che ritorna trionfante colla testa di Golia.,"9. Davide a cavallo che ritorna trionfante colla testa di Golia.

Tela. Alt. 1.45, largh. 1.76.
## BOTH

(GIOVANNI, allievo di BROWER, 16I0-I65 I).",BO0624_81749
9,10,"Paesaggio con piante e figure. lavola. All. 0.71, largh. 1.03.","10. Paesaggio con piante e figure. lavola. All. 0.71, largh. 1.03.

## CUYP

(BENIAMINO, allievo di REMBRANDT, I6I2-1652).",BO0624_81749
10,11,"L'adorazione dei pastori. Bellissima composizione di molte lavola. Alt. 0.0o, largh. 0.00. figure, con gloria d'angeli.","11. L'adorazione dei pastori. Bellissima composizione di molte lavola. Alt. 0.0o, largh. 0.00. 2. figure, con gloria d'angeli.",BO0624_81749
11,12,"Interno di un'osteria. Gruppo di molte figure, maniera del Teniers. Tela. Alt. 0.36, largh. o.41.","12. Interno di un'osteria. Gruppo di molte figure, maniera del 4. Teniers. Tela. Alt. 0.36, largh. o.41.

## STEEN

(JEAN, 1626-1679).",BO0624_81749
12,13,"La compagnia allegra di J. Steen. Si scorgono su di un foglio di carta i resti del proverbio olandese. Quando i vecchi cantano i giovani fischiano. (Tal padre tal figlio). Segnato: Js incrociate. Tela. Alt. 1.04, lungh. I.30.","13. La compagnia allegra di J. Steen. Si scorgono su di un foglio di carta i resti del proverbio olandese. Quando i vecchi cantano i giovani fischiano. (Tal padre tal figlio). Segnato: Js incrociate. Tela. Alt. 1.04, lungh. I.30.

## VRIES

(1631-1657).",BO0624_81749
13,14,Paesaggio con bellissimo gruppo di piante ed un uomo che s'arvia ad un cascinale preceduto da un cane. Firmato.,"14. Paesaggio con bellissimo gruppo di piante ed un uomo 2. che s'arvia ad un cascinale preceduto da un cane. Firmato.

Tavola, Alt. 0.46, largh. 0.62.

## MANS

(F. H., 1600-1677).",BO0624_81749
14,15,Paesaggio con nevicata. Busto di un santo.,"15. Paesaggio con nevicata.

Tela. Alt. 0.35, largh. 0.45. 21. Busto di un santo.

## NEVEU

(MATTEO, allievo di GERARD D'Ow, I647-1721).",BO0624_81749
15,16,Lezione di ballo. NCOGNITO,"16. Lezione di ballo. ## INCOGNITO

(Secolo XVII).",BO0624_81749
16,17,Fiori e frutti in una guantiera sopra tavolo.,"17. Fiori e frutti in una guantiera sopra tavolo.

Lavagna. Alt. 0.40, largh. 0.54.

## Scuola fiamminga.

## BLES

(ENRICO METT di, detto il CIVETTA BOUVIGNES, 1480-1550).",BO0624_81749
17,18,"Il prestidigitatore. Scena di numerose figure. Nel fondo veduta d'una città, con un condannato alla Berlina. Quest'opera è contradistinta colla Civetta.","18. Il prestidigitatore. Scena di numerose figure. Nel fondo 2. veduta d'una città, con un condannato alla Berlina. Quest'opera è contradistinta colla Civetta.

Tavola. Alt. 1.02, largh. 1.37.

## FRANC FLORIS

(1520-1570).",BO0624_81749
18,19,Orfeo in mezzo agli animali. Fondo a paesaggio.,"19. Orfeo in mezzo agli animali. Fondo a paesaggio.

Tavola. Alt. 0.36. largh. 0.46.

Tela. Alt. 0.36, largh. 0.4T.

## RUBENS",BO0624_81749
19,20,San Giovanni Evangelista in adorazione. Busto.,"20. San Giovanni Evangelista in adorazione. Busto.

Tavola. Alt. 0.39, largh. 0,28.

Tavola. Alt. 0.41, largh. 0.30.
## MIEL

(GIOVANNI detto BIEKE o GIOVANNI della vite, 1599-1664).",BO0624_81749
20,22,"Una rissa. Composizione di molte figure, con fondo di un","22. Una rissa. Composizione di molte figure, con fondo di un

Tela. Alt. 0.72, largh. 0.97.

- villaggio.

## VOS

(SIMONE di, allievo di RUBENS, 1603-1676).",BO0624_81749
21,23,"Coriolano a cavallo, coperto della sua armatura, seguito dalla sua armata, incontra sua madre che gli si getta ai piedi e lo scongiura di non dimenticare la sua patria. Bellissima composizione di colori brillanti. Rame. Alt. 0.53, largh. 0.70.","23. Coriolano a cavallo, coperto della sua armatura, seguito dalla 2. sua armata, incontra sua madre che gli si getta ai piedi e lo scongiura di non dimenticare la sua patria. Bellissima composizione di colori brillanti. Rame. Alt. 0.53, largh. 0.70.

## HELLEMONT

(MATTEO, allievo di TENIERS, 1650-1719).",BO0624_81749
22,24,"Festa campestre. Delle gentil donne visitano la festa, e diversi gruppi di contadini intenti a giuocare e bere.","24. Festa campestre. Delle gentil donne visitano la festa, e 2. diversi gruppi di contadini intenti a giuocare e bere.

lela. Alt. o.61, largh. 0.62

## BLOEMENN

(PETER VAN, 1657-1720).",BO0624_81749
23,25,"Paesaggio della campagna romana con ruine. Un pastore col greggie vicino ad uno stagno. Tela, Alt. 0.77, lungh. 0.86.","25. Paesaggio della campagna romana con ruine. Un pastore col greggie vicino ad uno stagno. Tela, Alt. 0.77, lungh. 0.86.

## GILLEMANS

(GIOV. PAOLO, 1672-1742).",BO0624_81749
24,26,Pesci. Lavoro accurato e firmato. NCOGNITO,"26. Pesci. Lavoro accurato e firmato.

Tela. Alt. 0.77, largh. 0.63. ## INCOGNITO

(Secolo xvII).",BO0624_81749
25,27,"Vanitas. Sopra un tavolo sono disposti un teschio coronato di fiori, un libro, una clessydra e un candelliere colla can- dela spenta.","27. Vanitas. Sopra un tavolo sono disposti un teschio coronato di fiori, un libro, una clessydra e un candelliere colla can- 2. dela spenta.",BO0624_81749
26,28,Natura morta.,"28. Natura morta.

Tela. Alt. 0.48, largh. 0.64.

lavola. Alt. 0.57, largh. 0.60

## Scuola tedesca.

## (Secolo xv).",BO0624_81749
27,29,"La Vergine col Bambino, S. Gioachino e S. Anna contornati da santi e profeti. lavola. Alt. 0.90, 1argп. 0.54.","29. La Vergine col Bambino, S. Gioachino e S. Anna contornati da santi e profeti. lavola. Alt. 0.90, 1argп. 0.54.

## SCHÖNG AUER (Scuola del)

## (Secolo xv).",BO0624_81749
28,30,"La decapitazione di S. Caterina. Fondo a paesaggio con cielo d'oro. Tela. Alt. 0.74, largh. 0.50.","30. La decapitazione di S. Caterina. Fondo a paesaggio con cielo d'oro. Tela. Alt. 0.74, largh. 0.50.",BO0624_81749
29,31,San Cristoforo che attraversa il fiume col bambino sulle spalle. Fondo di marina e di monti.,"31. San Cristoforo che attraversa il fiume col bambino sulle 3. spalle. Fondo di marina e di monti.

Tavola. Alt. 0.46, largh. 0.56.

## DURER (Scuola del)",BO0624_81749
30,32,Cristo nell'andare al Calvario cade sotto il peso della croce e S. Veronica gli asciuga il volto. Composizione di molte figure. (Esiste l'incisione di A. Durer).,"32. Cristo nell'andare al Calvario cade sotto il peso della croce e S. Veronica gli asciuga il volto. Composizione di molte figure. (Esiste l'incisione di A. Durer).

Tavola. Alt. 0.79, largh. 0.57.
## KRANACH

(LUKAS, 1472-1553).",BO0624_81749
31,33,Ritratto di donna in ricco costume. Busto.,"33. Ritratto di donna in ricco costume. Busto.

lavola. Alt. 0.00, lalgh. 0.51.

## HAMILTON

(PH. FERD. VON, 1664-1750).",BO0624_81749
