index,num,title,text,catalogue_id,key,needs_revision
1,1,"Vaso a pancia, con due anse a testa di chimera, decorato con mascheroni e soggetti mitologici in azzurro sopra fondo bianco, alt. m. 0,40.   | Savona        |","| 1. Vaso a pancia, con due anse a testa di chimera, decorato con mascheroni e soggetti mitologici in azzurro sopra fondo bianco, alt. m. 0,40.   | Savona        |",BO0624_4466,"BO0624_4466||1||| 1. Vaso a pancia, con due anse a testa di chimera, decorato con mascheroni e soggetti mitologici in azzurro sopra fondo bianco, alt. m. 0,40.   | Savona        |",False
2,2,Piatto decorato con stemma in colori.                                                                                                        | Pesaro        |,| 2. Piatto decorato con stemma in colori.                                                                                                        | Pesaro        |,BO0624_4466,BO0624_4466||2||| 2. Piatto decorato con stemma in colori.                                                                                                        | Pesaro        |,False
3,3,Lotto di tre mattoni.                                                                                                                        | Persia        |,| 3. Lotto di tre mattoni.                                                                                                                        | Persia        |,BO0624_4466,BO0624_4466||3||| 3. Lotto di tre mattoni.                                                                                                                        | Persia        |,False
4,4,"Vaso a due manichi decorato con fregi azzurro sopra fondo bianco, alt. m. 0,25.                                                              | Moustiers     |","| 4. Vaso a due manichi decorato con fregi azzurro sopra fondo bianco, alt. m. 0,25.                                                              | Moustiers     |",BO0624_4466,"BO0624_4466||4||| 4. Vaso a due manichi decorato con fregi azzurro sopra fondo bianco, alt. m. 0,25.                                                              | Moustiers     |",False
5,5,| 5. Piccolo boccale decorato a fogliami in colori,"| 5. Piccolo boccale decorato a fogliami in colori                                                                                                | Persia        |
|",BO0624_4466,"BO0624_4466||5||| 5. Piccolo boccale decorato a fogliami in colori                                                                                                | Persia        |
|",False
6,6,•6. Due vasi di forma sferica con medaglioni.,•6. Due vasi di forma sferica con medaglioni.                                                                                                   | Caltagirone   |,BO0624_4466,BO0624_4466||6||•6. Due vasi di forma sferica con medaglioni.                                                                                                   | Caltagirone   |,False
7,7,"Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |","| 7. Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |",BO0624_4466,"BO0624_4466||7||| 7. Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |",False
8,8,"Paio vasi di forma sferica decorati con fregi in colori, e meda- glioni.                                                                     | Caltagirone   |","| 8. Paio vasi di forma sferica decorati con fregi in colori, e meda- glioni.                                                                     | Caltagirone   |",BO0624_4466,"BO0624_4466||8||| 8. Paio vasi di forma sferica decorati con fregi in colori, e meda- glioni.                                                                     | Caltagirone   |",False
9,9,"Vaso di forma cilindrica con iscrizione ed ornati in colori sopra fondo bleu, alt. m. 0,25.                                                  | Caltagirone   |","| 9. Vaso di forma cilindrica con iscrizione ed ornati in colori sopra fondo bleu, alt. m. 0,25.                                                  | Caltagirone   |",BO0624_4466,"BO0624_4466||9||| 9. Vaso di forma cilindrica con iscrizione ed ornati in colori sopra fondo bleu, alt. m. 0,25.                                                  | Caltagirone   |",False
10,10,"Vaso cilindrico decorato da un lato con fregi e testa di donna; dall'altro iscrizione col piccolo medaglione di Castelli. alt. m. 0,20.     |               |","| 10. Vaso cilindrico decorato da un lato con fregi e testa di donna; dall'altro iscrizione col piccolo medaglione di Castelli. alt. m. 0,20.     |               |
|                                                                                                                                                 | Casteldurante |",BO0624_4466,"BO0624_4466||10||| 10. Vaso cilindrico decorato da un lato con fregi e testa di donna; dall'altro iscrizione col piccolo medaglione di Castelli. alt. m. 0,20.     |               |
|                                                                                                                                                 | Casteldurante |",False
11,11,"Vaso di forma sferica e collo lungo con fregi su fondo bleu e aran- cione, nel centro ritratto colla scritta - Carone. alt. m. 0,33.        | Casteldurante |","| 11. Vaso di forma sferica e collo lungo con fregi su fondo bleu e aran- cione, nel centro ritratto colla scritta - Carone. alt. m. 0,33.        | Casteldurante |",BO0624_4466,"BO0624_4466||11||| 11. Vaso di forma sferica e collo lungo con fregi su fondo bleu e aran- cione, nel centro ritratto colla scritta - Carone. alt. m. 0,33.        | Casteldurante |",False
12,12,Cavolo con foglia in majolica colorata di                                                                                                   | Abruzzo       |,| 12. Cavolo con foglia in majolica colorata di                                                                                                   | Abruzzo       |,BO0624_4466,BO0624_4466||12||| 12. Cavolo con foglia in majolica colorata di                                                                                                   | Abruzzo       |,False
13,13,"Vaso di forma cilindrica, decorato con figura saera,                                                                                        | Abruzzo       | Vaso di forma cilindrica, decorato con figura saera,","| 13. Vaso di forma cilindrica, decorato con figura saera,                                                                                        | Abruzzo       | 13. Vaso di forma cilindrica, decorato con figura saera,",BO0624_4466,"BO0624_4466||13||| 13. Vaso di forma cilindrica, decorato con figura saera,                                                                                        | Abruzzo       | 13. Vaso di forma cilindrica, decorato con figura saera,",False
