catalogue_id,prev_num,current_num,title,excerpt
BO0624_4466,37,14,no. Gran piatto a sbalzo in terragha bianca Wedarood.,14. no. Gran piatto a sbalzo in terragha bianca Wedarood.
BO0624_4466,14,39,Vaso a forma di civetta (manca la testa). Caffagiolo,39. Vaso a forma di civetta (manca la testa). Caffagiolo
BO0624_4466,57,56,"| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante","| 56. Vaso di forma sferica, decorato con fregi e medaglioni. Casteldurante"
BO0624_4466,61,63,Due canestrini in terraglia di                                                                                                                                    | Napoli                                                                                                                                     |,| 63. Due canestrini in terraglia di                                                                                                                                    | Napoli                                                                                                                                     |
BO0624_4466,68,60,"Paio vesi di forma sferica. decorati con medaglioni. fiori e fogl in colori sopra fondo bleu, alt. m. 0,27 Casteldurante","60. Paio vesi di forma sferica. decorati con medaglioni. fiori e fogl in colori sopra fondo bleu, alt. m. 0,27 Casteldurante"
BO0624_4466,60,70,"Vaso di forma sierica, con due medagnon e ornau in colori. la ctelnamante","70. Vaso di forma sierica, con due medagnon e ornau in colori. la ctelnamante"
BO0624_4466,72,13,lazza decorata con Amorin. Abruzzo,13. lazza decorata con Amorin. Abruzzo
BO0624_4466,13,74,Due piatti (Fabb. di Cappelletti). 40razzo,74. Due piatti (Fabb. di Cappelletti). 40razzo
BO0624_4466,75,78,Vaso a becco con manico e due medaglioni. Caltagirone,78. Vaso a becco con manico e due medaglioni. Caltagirone
BO0624_4466,81,83,"Mattoni per pavimento, con ornati raffaelleschi sopra fondo di vari colori - Quadrato di dieci pezzi Caffagiol","83. Mattoni per pavimento, con ornati raffaelleschi sopra fondo di vari colori - Quadrato di dieci pezzi Caffagiol"
BO0624_4466,88,92,"Vaso di forma sferica decorata con iscrizione; foglie e frutta al 1 ingiro, alt. m. 0,00. castelnan ant","92. Vaso di forma sferica decorata con iscrizione; foglie e frutta al 1 ingiro, alt. m. 0,00. castelnan ant"
BO0624_4466,108,110,Mattone con fregi su fondo verde.                                                                                                                                 | Persia                      |,| 110. Mattone con fregi su fondo verde.                                                                                                                                 | Persia                      |
BO0624_4466,123,127,Rinfrescatojo con fregi e manichi in terraglia bianca di Wedgwood                                                |,| 127. Rinfrescatojo con fregi e manichi in terraglia bianca di Wedgwood                                                |
BO0624_4466,127,12,o. liceolo piatto in colori. Lersia                                                                                 |,| 12o. liceolo piatto in colori. Lersia                                                                                 |
BO0624_4466,12,129,Due vasi con medagloni. Sicilia                                                                                  |,| 129. Due vasi con medagloni. Sicilia                                                                                  |
BO0624_4466,135,138,"Vaso con ornati sopra fondo arancione, alt. m. 0.25 Caffagiolo                                                   |","| 138. Vaso con ornati sopra fondo arancione, alt. m. 0.25 Caffagiolo                                                   |"
BO0624_4466,145,147,Due vasi con medagliom Caltagirone                                                                               |,| 147. Due vasi con medagliom Caltagirone                                                                               |
BO0624_4466,147,149,Idem Casteldamant                                                                                                |,| 149. Idem Casteldamant                                                                                                |
BO0624_4466,151,105,"Plletta formante architettura, con fregi e figure di anoioletti in Thevo; nel mezzo la Vergine Immacolata. alt. m. 0.41 per 0.31. | 4011220 Abruzzo |","| 105. Plletta formante architettura, con fregi e figure di anoioletti in Thevo; nel mezzo la Vergine Immacolata. alt. m. 0.41 per 0.31. | 4011220 Abruzzo |"
BO0624_4466,105,154,"Vaso di forma sferica, decorato a fregi con due medaglioni.                                                                       | Casteldamante   |","| 154. Vaso di forma sferica, decorato a fregi con due medaglioni.                                                                       | Casteldamante   |"
BO0624_4466,155,106,"Mattonella - La Vergine. 157. Mattone, rappresentante costumi Errico IV.                                                          | Abruzzo         |","| 106. Mattonella - La Vergine. 157. Mattone, rappresentante costumi Errico IV.                                                          | Abruzzo         |"
BO0624_4466,106,158,"Scodella, con soggetto sacro e con iscrizione all'ingiro - S. Casa di Loreto.                                                     | Abruzzo         |","| 158. Scodella, con soggetto sacro e con iscrizione all'ingiro - S. Casa di Loreto.                                                     | Abruzzo         |"
BO0624_4466,158,10,"g. Vaso con manico e becco, decorato con fregi e stemma nel centro.                                                                  | Casteldurante   |","| 10g. Vaso con manico e becco, decorato con fregi e stemma nel centro.                                                                  | Casteldurante   |"
BO0624_4466,10,160,"Vaso, decorato con frutta e iscrizione.                                                                                           | Castetdurante   |","| 160. Vaso, decorato con frutta e iscrizione.                                                                                           | Castetdurante   |"
BO0624_4466,162,100,Due vasi con medaglioni                                                                                                           | Caltagirone     |,| 100. Due vasi con medaglioni                                                                                                           | Caltagirone     |
BO0624_4466,100,164,"Vaso a pancia con manichi e collo lungo, decorato con arabeschi a riflesso metallico sopra fondo bianco. alt.m. 0.20              | Ispano-Moresco  |","| 164. Vaso a pancia con manichi e collo lungo, decorato con arabeschi a riflesso metallico sopra fondo bianco. alt.m. 0.20              | Ispano-Moresco  |"
BO0624_4466,165,16,%. Salera con cariatidi: fondo bleu e fregi gialli.                                                                                  | Pavia           |,| 16%. Salera con cariatidi: fondo bleu e fregi gialli.                                                                                  | Pavia           |
BO0624_4466,16,168,Paio vasi con ornati in rilievo. Maiolica bianca. 16g. lastore con armenti: maronca in colori                                     | Urorno          |,"| 168. Paio vasi con ornati in rilievo. Maiolica bianca. 16g. lastore con armenti: maronca in colori                                     | Urorno          |
| di varii colori. Quadrato di dieci pezzi.                                                                                              |                 |"
BO0624_4466,168,170,"Mattonelle per pavimento, con ornati alla raffaellesca sopra fondo                                                                | Caffagiolo      |","| 170. Mattonelle per pavimento, con ornati alla raffaellesca sopra fondo                                                                | Caffagiolo      |"
BO0624_4466,172,174,"Vaso di forma sferica e collo lungo, con trofei d'armi in colori su fondo bleu. Casteldurante                                  |","| 174. Vaso di forma sferica e collo lungo, con trofei d'armi in colori su fondo bleu. Casteldurante                                  |
|-------------------------------------------------------------------------------------------------------------------------------------|"
BO0624_4466,185,187,Vaso di forma cilindrica (l' Amicizia). Abruzzo                                                                                |,| 187. Vaso di forma cilindrica (l' Amicizia). Abruzzo                                                                                |
BO0624_4466,200,202,"Cristo alla colonna, mattone degli                                                                                                               | Abruzzi       |","| 202. Cristo alla colonna, mattone degli                                                                                                               | Abruzzi       |
|-------------------------------------------------------------------------------------------------------------------------------------------------------|---------------|"
BO0624_4466,233,235,"Paio vasi di forma sferica, decorati con medaglioni in colori.                                                        | 235. Paio vasi di forma sferica, decorati con medaglioni in colori.                                                        |                                                                                               |","| 235. Paio vasi di forma sferica, decorati con medaglioni in colori.                                                        | 235. Paio vasi di forma sferica, decorati con medaglioni in colori.                                                        |                                                                                               |
|                                                                                                                            |                                                                                                                            | Caltagirone                                                                                   |"
BO0624_4466,247,246,"| 246. Piatto, decorato con arabeschi a riflesso metallico listati bleu, diam. m. 0,37.","| 246. Piatto, decorato con arabeschi a riflesso metallico listati bleu, diam. m. 0,37."
BO0624_4466,292,294,"Vaso cilindrico, decorato con ornati bleu ed arancio sopra fondo bianco, alt. m. 0,25. Caffagiolo                                                                                             |","| 294. Vaso cilindrico, decorato con ornati bleu ed arancio sopra fondo bianco, alt. m. 0,25. Caffagiolo                                                                                             |"
BO0624_4466,296,298,"Boccale con manico e becco, mascheroni e figure in colori. Pesaro","298. Boccale con manico e becco, mascheroni e figure in colori. Pesaro"
BO0624_4466,320,323,| 323. Due piatti in maiolica.,| 323. Due piatti in maiolica.
BO0624_4466,326,827,Paesaggio con figura - Mattonella degli                                                                                                               | AbruzzI                                                                |,| 827. Paesaggio con figura - Mattonella degli                                                                                                               | AbruzzI                                                                |
BO0624_4466,827,328,Piletta con figura di santo.                                                                                                                          | Abruzzo                                                                |,| 328. Piletta con figura di santo.                                                                                                                          | Abruzzo                                                                |
BO0624_4466,334,337,Saliera in terraglia (Fabb. del Giustiniam)                                                                                                           | Napoli                                                                 |,| 337. Saliera in terraglia (Fabb. del Giustiniam)                                                                                                           | Napoli                                                                 |
BO0624_4466,339,341,Mattone decorato con vari fogliami in colori.                                                                                                         | Lersia                                                                 |,| 341. Mattone decorato con vari fogliami in colori.                                                                                                         | Lersia                                                                 |
BO0624_4466,350,3,o1. Piatto con iscrizione e stemma                                                                                                                        |                                                                        |,| 3o1. Piatto con iscrizione e stemma                                                                                                                        |                                                                        |
BO0624_4466,3,352,Il presepe. Mattone degli Abruzzi,352. Il presepe. Mattone degli Abruzzi
BO0624_4466,391,393,"Boccale con decorazioni, imitando la China. Delft                                                                            |","| 393. Boccale con decorazioni, imitando la China. Delft                                                                            |"
BO0624_4466,421,4220,"Piccola anitra in colori, porcellana di                                                                                  | Vienna            |","| 4220. Piccola anitra in colori, porcellana di                                                                                  | Vienna            |"
BO0624_4466,4220,423,"Vaso con coperchio sormontato da chimera, decorato con fregi a rosame, e due medaglioni con figure, alt. m. 0,64.         | Giappone          |","| 423. Vaso con coperchio sormontato da chimera, decorato con fregi a rosame, e due medaglioni con figure, alt. m. 0,64.         | Giappone          |"
BO0624_4466,447,118,"Gruppo - Ercole ed Onfale - in porcellana (Fabbrica Reale), alt. m. 0,30. Napoli","118. Gruppo - Ercole ed Onfale - in porcellana (Fabbrica Reale), alt. m. 0,30. Napoli"
BO0624_4466,118,449,"Statuetta in colori - Amorino presso di un'urna adorna di fiori, alt. m. 0,25. Nassau","449. Statuetta in colori - Amorino presso di un'urna adorna di fiori, alt. m. 0,25. Nassau"
BO0624_4466,460,462,"Piatto in colore e bordo traforato, porcellana di Sassonia","462. Piatto in colore e bordo traforato, porcellana di Sassonia"
BO0624_4466,493,894,Due piatti in porcellana della                                                                      |             |,| 894. Due piatti in porcellana della                                                                      |             |
BO0624_4466,894,495,"Due piccoli cavalli con cavalieri, in porcellana colorata, alt. m. 09.                              |             |","| 495. Due piccoli cavalli con cavalieri, in porcellana colorata, alt. m. 09.                              |             |"
BO0624_4466,515,517,"Due tazze, decorate con figure pompejane, in colori. Napoli","517. Due tazze, decorate con figure pompejane, in colori. Napoli"
BO0624_4466,556,559,"Statuetta - Cerere - biscuit, alt. m. 0,20.                                           | Napoli      |","| 559. Statuetta - Cerere - biscuit, alt. m. 0,20.                                           | Napoli      |
| Vestale - biscuit, alt. m. 0,20.                                                           | Napoli      |"
BO0624_4466,559,561,"Idem - Suonatrice di tibie - biscuit, alt. m. 0,20 di                                 | Napoli      |","| 561. Idem - Suonatrice di tibie - biscuit, alt. m. 0,20 di                                 | Napoli      |"
BO0624_4466,586,287,"Piccola vacca di porcellana in colore, alt. m. 0.15                                                                                  | Sassoma             |","| 287. Piccola vacca di porcellana in colore, alt. m. 0.15                                                                                  | Sassoma             |
|-------------------------------------------------------------------------------------------------------------------------------------------|---------------------|"
BO0624_4466,287,588,"Scatolo con diciassette pezzi, per servizio da Cafte, in porcellana dipinta con farfalle. Capodimonte                                |                     |","| 588. Scatolo con diciassette pezzi, per servizio da Cafte, in porcellana dipinta con farfalle. Capodimonte                                |                     |
| pog. statuetta in colori. — Contadinello venditore di frutta - alt. m. U.13                                                               | Sassoma             |"
