Oggetto (ita);Oggetto (en);AAT;URI / URL;
Accesso su invito;Invitations;aat:300027083;https://vocab.getty.edu/aat/300027083 ;
Acquerello (tecnica artistica);Technique;aat:300053363;https://vocab.getty.edu/aat/300053363 ;
Acquerello (vernice);Watercolor (paint);aat:300015045;https://vocab.getty.edu/aat/300015045 ;
Acquirente;buyers ;aat:300445695;https://vocab.getty.edu/aat/300445695 ;
Affresco;Fresco painters;aat:300386202;https://vocab.getty.edu/aat/300386202 ;
Allievi (di);Pupils (of);aat:300404279;https://vocab.getty.edu/aat/300404279 ;
Altezza;Height;aat:300055644;https://vocab.getty.edu/aat/300055644;
Ampiezza;Width;aat:300055647;https://vocab.getty.edu/aat/300055647;
Annotazioni;Annotations;aat:300026100;https://vocab.getty.edu/aat/300026100 ;
Arazzi;Tapestries;aat:300205002;https://vocab.getty.edu/aat/300205002 ;
Architettura ;Architecture (object genre);aat:300263552;https://vocab.getty.edu/aat/300263552 ;
Argenteria;Silverwork;aat:300234152;https://vocab.getty.edu/aat/300234152 ;
Argento;Silver (metal);aat:300011029;https://vocab.getty.edu/aat/300011029 ;
Argilla;Clay;aat:300010439;https://vocab.getty.edu/aat/300010439;
Armatura;Armor;aat:300036745;https://vocab.getty.edu/aat/300036745 ;
Arredamento;Furniture;aat:300037680;https://vocab.getty.edu/aat/300037680 ;
Arti Decorative;Decorative art (art genre);aat:300411641;https://vocab.getty.edu/aat/300411641 ;
Assistente alla vendita ;Seller's agents;aat: 300448856;https://vocab.getty.edu/aat/300448856 ;
Asta;Auctions (sales events);aat:300054751;https://vocab.getty.edu/aat/300054751 ;
Asta (metodo di acquisizione);Auction (method of acquisition);aat:300417643;https://vocab.getty.edu/aat/300417643 ;
Atelier (of);Atelier of (attribution qualifier) ;aat:300404277;https://vocab.getty.edu/aat/300404277 ;
Attribuzione d'auore o scuola;Attribution;aat:300056109;https://vocab.getty.edu/aat/300056109;
Battitore ;Commissaires-priseurs;aat:300412173;https://vocab.getty.edu/aat/300412173 ;
Bibliografia;Bibliographies;aat:300026497;https://vocab.getty.edu/aat/300026497 ;
Biglietto di ammissione;Admission tickets;aat:300133073;https://vocab.getty.edu/aat/300133073 ;
Bronzo;Bronze;aat:300010957;https://vocab.getty.edu/aat/300010957 ;
Carta;Paper (fiber product);aat:300014109;https://vocab.getty.edu/aat/300014109 ;
Casa d'asta;Auction houses (businesses);aat:300417515;https://vocab.getty.edu/aat/300417515 ;
Catalogo d'asta;Auction Catalogs;aat:300026068;https://vocab.getty.edu/aat/300026068;
Centimetri;Centimeters;aat:300379098;https://vocab.getty.edu/aat/300379098;
Certificato di garanzia;Certificates of authenticity;aat:300404374;https://vocab.getty.edu/aat/300404374 ;
Cessazione attività ;Suspension (abatement, judicial function);aat:300260885;https://vocab.getty.edu/aat/300260885;
Circolo (di);Circle of (attribution qualifier);aat:300404283;https://vocab.getty.edu/aat/300404283 ;
Codice di collocazione;Shelfmark;aat:300404704;https://vocab.getty.edu/aat/300404704;
Collezionista;art collectors;aat:300435149;https://vocab.getty.edu/aat/300435149 ;
Colore;Colors (hues or tints);aat:300080438;https://vocab.getty.edu/aat/300080438;
Committente ;Commissioners (people who order works);aat:300400903;https://vocab.getty.edu/aat/300400903 ;
Cornici;Picture Frames;aat:300404391;https://vocab.getty.edu/aat/300404391 ;
Deaccessione;Deaccessioning;aat:300079654;https://vocab.getty.edu/aat/300079654 ;
Decorazioni applicate;Applied decoration;aat:300229940;https://vocab.getty.edu/aat/300229940 ;
Descrizione generica;Descriptive note;aat:300435416;https://vocab.getty.edu/aat/300435416 ;
Dichiarazione mostre espositive;Exhibition Statement;aat:300435424;https://vocab.getty.edu/aat/300435424 ;
Dichiarazione sui materiali;Materials Statement;aat:300435429;https://vocab.getty.edu/aat/300435429 ;
Dichiarazione sulla firma;Signature Statement;aat:300028705;https://vocab.getty.edu/aat/300028705 ;
Dichiarazione sulla produzione;Production Statement;aat:300435436;https://vocab.getty.edu/aat/300435436 ;
Dichiarazione sulla provenienza;Provenance Statement;aat:300435438;https://vocab.getty.edu/aat/300435438 ;
Dichiarazione sulle iscrizioni;Inscription Statement;aat:300435414;https://vocab.getty.edu/aat/300435414 ;
Dimensioni;Dimensions Statement;aat:300435430;https://vocab.getty.edu/aat/300435430 ;
Disegno;Drawing;aat:300033973;https://vocab.getty.edu/aat/300033973 ;
Documento catalogo d'asta;Auction catalogs;aat:300026068;https://vocab.getty.edu/aat/300026068 ;
Editore;Publishers' catalogs;aat:300417739;https://vocab.getty.edu/aat/300417739 ;
Errata corrige;Errata slips;aat:300263142;https://vocab.getty.edu/aat/300263142 ;
Esposizione;Exhibiting (Event);aat:300054766;https://vocab.getty.edu/aat/300054766 ;
Firma;Signatures (names);aat:300028705;https://vocab.getty.edu/aat/300028705 ;
Foglia d'oro;Gold leaf;aat:300264831;https://vocab.getty.edu/aat/300264831 ;
Forma;Shape (form attribute);aat:300056273;https://vocab.getty.edu/aat/300056273 ;
Fotografia;Photographs;aat:300046300;https://vocab.getty.edu/aat/300046300 ;
Fotografo;Photographers;aat:300025687;https://vocab.getty.edu/aat/300025687 ;
Fotolitografo;Photolithographers;aat:300025726;https://vocab.getty.edu/aat/300025726 ;
Gessetto (per disegnare);Chalk;aat:300011727;https://vocab.getty.edu/aat/300011727 ;
Gesso (per intonaco);Plaster (composite coating);aat:300014922;https://vocab.getty.edu/aat/300014922 ;
Gioielli;Jewelry;aat:300209286;https://vocab.getty.edu/aat/300209286 ;
Giudizio di qualità;Quality;aat:300179462;https://vocab.getty.edu/aat/300179462 ;
Gouache (tecnica);Gouache (technique);aat:300404215;https://vocab.getty.edu/aat/300404215 ;
Grafite;Graphite (mineral);aat:300011098;https://vocab.getty.edu/aat/300011098 ;
Immagine;Object Genres (hierarchy name);aat:300185711;https://vocab.getty.edu/aat/300185711 ;
Inchiostro;Ink;aat:300015012;https://vocab.getty.edu/aat/300015012 ;
Incisione;Prints (visual works);aat:300041273;https://vocab.getty.edu/aat/300041273 ;
Inserzioni Pubblicitarie;Advertisements;aat:300193993;https://vocab.getty.edu/aat/300193993 ;
Interpretazione storica;Interpretation;aat:300226183;https://vocab.getty.edu/aat/300226183 ;
Invito;Invitations;aat:300027083 ;https://vocab.getty.edu/aat/300027083 ;
Laboratorio (di);Workshop of (attribution qualifier);aat:300404274;https://vocab.getty.edu/aat/300404274 ;
Legno;Wood (plant material);aat:300011914;https://vocab.getty.edu/aat/300011914 ;
Libri;Books;aat:300028051;https://vocab.getty.edu/aat/300028051 ;
Lingua Italiana;Italian Language;aat:300388474;https://vocab.getty.edu/aat/300388474;
Lingua Inglese;English Language;aat:300388277;https://vocab.getty.edu/aat/300388277;
Lingua Tedesca;German Language;aat:300388344;https://vocab.getty.edu/aat/300388344;
Lingua Olandese;Dutch Language;aat:300388256;https://vocab.getty.edu/aat/300388256;
Lingua Francese;French Language;aat:300388306;https://vocab.getty.edu/aat/300388306;
Listino prezzi;List prices;aat:300417247;https://vocab.getty.edu/aat/300417247 ;
Litografia (processo tecnico);Lithography (process);aat:300053271;https://vocab.getty.edu/aat/300053271 ;
Litografie (stampe);Lithographs (prints);aat:300041379;https://vocab.getty.edu/aat/300041379 ;
Lotto d'asta;Auction lots;aat:300411307;https://vocab.getty.edu/aat/300411307 ;
Maioliche;Majolica;aat:300021170;https://vocab.getty.edu/aat/300021170;
Manoscritti;Illuminated manuscripts;aat:300265483;https://vocab.getty.edu/aat/300265483 ;
Mappe;Maps (documents);aat:300028094;https://vocab.getty.edu/aat/300028094 ;
Marmo;Marble;aat:300011443;https://vocab.getty.edu/aat/300011443 ;
Messa in vendita singola di un lotto;Offered at auction;aat:300420001;https://vocab.getty.edu/aat/300420001 ;
Metallo;Metal;aat:300010900;https://vocab.getty.edu/aat/300010900 ;
Miniature;Miniatures (paintings);aat:300033936;https://vocab.getty.edu/aat/300033936 ;
Monete;Coins (money);aat:300037222;https://vocab.getty.edu/aat/300037222 ;
Mosaici (opera d'arte);Mosaics (visual works);aat:300015342;https://vocab.getty.edu/aat/300015342 ;
Mostra;Showings;aat:300404521;https://vocab.getty.edu/aat/300404521 ;
Naturalia;Natural Objects;aat:300404125;https://vocab.getty.edu/aat/300404125 ;
Nota descrittiva;Descriptive note;aat:300435416;https://vocab.getty.edu/aat/300435416;
Notaio;Notaries;aat:300025454;https://vocab.getty.edu/aat/300025454 ;
Numero di Lotto;Lot numbers;aat:300404628;https://vocab.getty.edu/aat/300025454;
Numero di Inventario;Accession Numbers;aat:300312355;https://vocab.getty.edu/aat/300312355 ;
Numero identificativo;Identification number;aat:300404626;https://vocab.getty.edu/aat/300404626;
Oggetti archeologici;Archeological objects;aat:300234110;https://vocab.getty.edu/aat/300234110 ;
Osso;Bone (material);aat:300011798;https://vocab.getty.edu/aat/300011798 ;
Pietra;Stone (worked rock);aat:300011176;https://vocab.getty.edu/aat/300011176 ;
Pietre preziose;Gemstone;aat:300201964;https://vocab.getty.edu/aat/300201964 ;
Pittura (arti visive);Paintings (visual works);aat:300033618;https://vocab.getty.edu/aat/300033618 ;
Pittura a olio (materiale);Oil paint (material);aat:300015050;https://vocab.getty.edu/aat/300015050 ;
Pittura ad olio (tecnica);Oil painting (technique);aat:300178684;https://vocab.getty.edu/aat/300178684 ;
Prefazione;Prefaces;aat:300055032;https://vocab.getty.edu/aat/300055032 ;
Provenienza;Provenance Activity ;aat:300055863;https://vocab.getty.edu/aat/300055863 ;
Pubblicità;Advertaising cards;aat:300212151;https://vocab.getty.edu/aat/300212151 ;
Quercia;Oak (wood);aat:300012264;https://vocab.getty.edu/aat/300012264 ;
Rame;Copper (metal);aat:300011020;https://vocab.getty.edu/aat/300011020 ;
Responsabile contabile;Accountants;aat:300024982;https://vocab.getty.edu/aat/300024982 ;
Scultura (arti visive);Sculpture (visual works);aat:300047090;https://vocab.getty.edu/aat/300047090 ;
Scultura (processo);Sculpting (process);aat:300264383;https://vocab.getty.edu/aat/300264383 ;
Scuola (di);School of (attribution qualifier);aat:300404284;https://vocab.getty.edu/aat/300404284 ;
Seguaci (di);Followers of (attribution qualifier);aat:300404282;https://vocab.getty.edu/aat/300404282 ;
Serie;serials (publications);aat:300026642;https://vocab.getty.edu/aat/300026642;
Serigrafia;Screen printing;aat:300053281;https://vocab.getty.edu/aat/300053281 ;
Sigla;Acronyms;aat:300404659;https://vocab.getty.edu/aat/300404659 ;
Stampe;Prints (visual works);aat:300041273;https://vocab.getty.edu/aat/300041273 ;
Stile e Periodo;Styles and Periods (hierarchy name);aat:300015646;https://vocab.getty.edu/aat/300015646 ;
Stora sulle condizioni conservative;Condition Statement;aat:300435425;https://vocab.getty.edu/aat/300435425 ;
Storico dell'arte;Art historians;aat:300025541;https://vocab.getty.edu/aat/300025541 ;
Strumenti Musicali;Musical Instruments;aat:300041620;https://vocab.getty.edu/aat/300041620 ;
Studio (di);Studio of (attribution qualifier);aat:300404275;https://vocab.getty.edu/aat/300404275 ;
Tecnica (processo);techniques (processes);aat:300138082;https://vocab.getty.edu/aat/300138082;
Tecniche pittoriche;Painting techniques;aat:300053343;https://vocab.getty.edu/aat/300053343 ;
Tela;Canvas (textile material);aat:300014078;https://vocab.getty.edu/aat/300014078 ;
Tela tessile;Canvas (textile material);aat:300014078;https://vocab.getty.edu/aat/300014078 ;
Tempera;Tempera;aat:300015062;https://vocab.getty.edu/aat/300015062 ;
Terracotta;Clay (material);aat:300010669;https://vocab.getty.edu/aat/300010669 ;
Tessili (arti visive);Texiles (visual works);aat:300014063;https://vocab.getty.edu/aat/300014063 ;
Tipografo;Typographers;aat:300025745;https://vocab.getty.edu/aat/300025745 ;
Tipografia;Typography;aat:300195853;https://vocab.getty.edu/aat/300195853;
Vendita d'arte;Art sales;aat:300435443;https://vocab.getty.edu/aat/300417762 ;
Venditore ;Sellers;aat:300445696;https://vocab.getty.edu/aat/300445696 ;
Vestiti;Clothings;aat:300266639;https://vocab.getty.edu/aat/300266639 ;
