Frasi in NLP;Triplette in NLP;;;CIDOC CRM;;;Vocabolari esterni;
;Soggetto ;Predicato;Oggetto;Classe soggetto ;Proprietà;Classe oggetto;Forma controllata della Classe soggetto;Vocabolario controllato
Creazione del Catalogo;;;;;;;;
“Il Documento è stato Creato”;Documento;è stato creato;Creazione;crm:E31_Document [Catalogo];crm:P94i_was_created_by;crm:E65_Creation;/;/
“La Creazione del Documento è stata fatta nell'anno 1850”;Creazione;è stata fatta nell'anno;1864;crm:E65_Creation;crm:P4_has_time-span;crm:E52_Time-Span;/;/
"""Il Periodo ha una data di inizio""";Periodo;ha un inizio;Data;crm:E52_Time-Span;crm:P82a_begin_of_the_begin;xsd:gYear;/;/
"""Il Periodo ha una data di fine""";Periodo;ha un inizio;Data;crm:E52_Time-Span;crm:P82b_end_of_the_end;xsd:gYear;/;/
"""Il Documento è di tipo Catalogo""";Documento;è di tipo;Tipo_1 [Catalogo];crm:E31_Document ;crm:P2_has_type;crm:E55_Type;/;Catalogo d'Asta [aat:300026068]
“Il Documento ha un Titolo”;Documento;ha titolo;Vendita collezione Torlonia;crm:E31_Document [Catalogo];crm:P102_has_title;crm:E35_Title;/;/
"""Il Titolo del Catalogo ha un contenuto testuale""";Titolo;contiene;Contenuto Testuale;crm:E35_Title;crm:P190_has_symbolic_content;xsd:string;/;/
"""Il Catalogo ha come componente il suo testo linguistico""";Catalogo;ha ;Oggetto_Linguistico;crm:E31_Document [Catalogo];P148_has_component;crm:E33_Linguistic_Object [Lingua];;
"""Il Catalogo è espresso in una lingua specifica""";Catalogo [Oggetto Linguistico];è scritto in;Lingua_1;crm:E33_Linguistic_Object [Lingua];crm:P72_has_language;crm:E56_Language;/;"Italiano [aat:300388474]
Francese [aat:300388306]
Tedesco [aat:300388344]
Inglese [aat:300388277]
Olandese [aat:300388256]"
Attribuzione per la creazione del Catalogo;;;;;;;;
"""é stato Assegnato un Ruolo a qualcuno nell’ambito della Creazione del Catalogo""";Attribuzione;è stata assegnata a;Creazione;crm:E13_Attribute_Assignment;crm:P140_assigned_attribute_to;crm:E65_Creation;/;/
"""L'Attribuzione è stata Assegnata a una o più persone""";Attribuzione;è stata assegnata a persone con ruoli autoriali specifici;Persona_1;crm:E13_Attribute_Assignment;crm:P141_assigned;crm:E21_Person;/;/
"""L'Attribuzione Assegnata riguarda Chi ha svolto l'azione specifica (es. fotografo, autore, ecc.)""";Attribuzione;è stata assegnata a qualcuno;effettuata da;crm:E13_Attribute_Assignment;crm:P177_assigned_property_of_type;crm:P14_carried_out_by;/;/
"""L'Attribuzione è di Tipo specifico""";Attribuzione;è di Tipo specifico;Tipo_1;crm:E13_Attribute_Assignment;crm:P2_has_type;crm:E55_Type;/;"Editore [aat:300417739]
Tipografo [300025745]
Storico dell'arte [aat:300025541]
Fotolitografo [aat:300025726]
Fotografo [aat:300025687]"
