Frasi in NLP;Triplette in NLP;;;CIDOC CRM;;;Vocabolari esterni;;Application Profile - Evento
;Soggetto ;Predicato;Oggetto;Classe soggetto ;Proprietà;Classe oggetto;Forma controllata della Classe soggetto;Vocabolario controllato;
Relazione Mostra/Asta;;;;;;;;;Application Profile - Evento
"""L'Evento è di tipo Mostra""";Attività;è ;Mostra;crm:E7_Activity [Mostra];crm:P2_has_type;crm:E55_Type ;Mostra [aat:300404521];/;
"""L'Evento è di tipo Asta""";Attività;è ;Vendita all'asta;crm:E7_Activity [Vendita all'asta];crm:P2_has_type;crm:E55_Type ;Asta [aat:300054751];/;
"""L’Evento Mostra può essere tematico (es. solo dipinti antichi) o comprendere lotti di natura eterogenea”";Mostra ;può essere di tipo;Tipologia_1;crm:E7_Activity [Mostra];crm:P2_has_type;crm:E55_Type ;/;"zac:asta_tematica
zac:asta_mista";
"""L’Evento Asta può essere tematico (es. solo dipinti antichi) o comprendere lotti di natura eterogenea”";Asta;può essere di tipo;Tipologia_1;crm:E7_Activity [Asta];crm:P2_has_type;crm:E55_Type ;/;"zac:asta_tematica
zac:asta_mista";
“L'Evento Mostra è preliminare all'evento Asta, ovvero alla vendita vera e propria (sono due eventi separati, in sequenza)”;Mostra ;è preliminare a;Vendita all'asta;crm:E7_Activity [Mostra];crm:P183_ends_before_the_start_of;crm:E7_Activity [Asta];/;/;
Evento Mostra;;;;;;;;;
"""L'Evento Mostra presenta al pubblico i lotti che saranno messi in vendita successivamente""";Mostra ;espone;Lotti;crm:E7_Activity [Mostra];crm:P16_used_specific_object;la:Set ;Lotto [aat:300411307];/;
"""L'Evento Mostra ha un luogo di svolgimento""";Mostra ;ha luogo di svolgimento;Luogo;crm:E7_Activity [Mostra];crm:P7_took_place_at;crm:E53_Place;/;/;
"""Il Luogo di svolgimento dell'Evento Mostra è la sede x""";Luogo;è ;Sede X [sala dei Confalonieri, Palazzo dei Congressi];crm:E53_Place;crm:P1_is_identified_by;crm:E41_Appellation;/;/;
"""Il nome della sede x è [nome]""";Nome della sede X;è;Nome;crm:E41_Appellation;crm:P190_has_symbolic_content;xsd:string;;/;
"""L'Evento Mostra ha uno o più giorni di svolgimento (è divisa in giornate di esposizione)""";Mostra ;è divisa in uno o più giorni;Giorni di esposizione;crm:E7_Activity [Mostra];crm:P4_has_time-span;crm:E52_Time-Span;/;/;
"""L'Evento Mostra ha un orario di svolgimento (si svolge in fasce orarie definite, es. dalle 15:00 alle 18:00)""";Mostra ;ha uno o più slot orari;Ora_esposizione;crm:E7_Activity [Mostra];crm:P4_has_time-span;crm:E52_Time-Span;/;/;
Evento Asta;;;;;;;;;
"""L'Evento Asta presenta al pubblico i lotti in vendita""";Asta;mette in vendita;Lotti;crm:E7_Activity [Asta];crm:P16_used_specific_object;la:Set ;/;/;
"""L'Evento Asta ha utilizzato oggetti di questo tipo""";Asta;ha usato oggetti di tipo;Tipo;crm:E7_Activity [Asta];crm:P125_used_objects_of_type;crm:E55_Type ;/;"Pittura (arti visive) [aat:300033618], Scultura (arti visive) [aat:300047090], Architettura [aat:300263552], Mosaici [aat:300015342], Decorative Arts [aat:300411641], Drawing [aat:300033973], Fotografie [aat:300046300], Litografie [aat:300041379], Stampe [aat:300041273], Mappe [aat:300028094], Frame [aat:300404391]. Oggetti archeologici [aat:300234110], Monete [aat:300037222], Argenteria [aat:300234152], Gioielli [aat:300209286], Pietre preziose [aat:300201964], Stained glass [aat:300263722], Naturalia [aat:300404125], Libri [aat:300028051], Manoscritti [aat:300265483], Miniature [aat:300033936], Musical Instrument [aat:300041620]
Armor [aat:300036745], Clothing [aat:300266639], Tessili (arti visive) [aat:300014063], Arazzi [aat:300205002], Furniture [aat:300037680]";
"""L'Evento Asta ha un luogo di svolgimento""";Asta;ha luogo di svolgimento;Sala dei Confalonieri, Palazzo dei Congressi;crm:E7_Activity [Asta];crm:P7_took_place_at;crm:E53_Place;/;/;
