Frasi in NLP;Triplette in NLP;;;CIDOC CRM;;;Vocabolari esterni;
;Soggetto ;Predicato;Oggetto;Classe soggetto ;Proprietà;Classe oggetto;Forma controllata della Classe soggetto;Vocabolario controllato
Relazione Collezione - Lotto - Oggetti;;;;;;;;
"""L'Evento Asta impiega una o più Collezioni di oggetti d'arte come oggetto della vendita""";Asta;impiega;Collezione;crm:E7_Activity [Asta];crm:P16_used_specific_object;crm:E78_Curated_Holding;/;/
"""La Collezione in vendita nell'Evento Asta ha un proprietario""";Collezione in vendita nell'Evento Asta;ha un proprietario;Persona o entità che ne detiene il possesso;crm:E78_Curated_Holding;crm:P51_has_former_or_current_owner;crm:E21_Person;/;/
"""La Collezione in vendita nell'Evento Asta contiene un certo numero di Lotti""";Collezione in vendita nell'Evento Asta;contiene Lotti;Lotto_1;crm:E78_Curated_Holding;crm:P46_is_composed_of;la:Set;/;/
"""I Lotti sono delle unità concettuali di vendita che contengono uno o più Oggetti fisici raggruppati in modo coerente (es. servizio da the)""";Lotto;contiene uno o più oggetti fisici;Oggetto_1;la:Set ;la:members_exemplified_by;crm:E22_Human-Made_Object;/;/
Lotto ;;;;;;;;
"""Il Lotto ha un ID""";Lotto;ha identificativo;Identificativo Univoco;la:Set;crm:P1_is_identified_by;crm:E42_Identifier;/;ID [aat:300404628] 
“Il Lotto ha un Titolo”;Lotto;ha titolo;Titolo;la:Set;crm:P102_has_title;crm:E35_Title;/;/
"""Il Lotto ha una Descrizione""";Lotto;ha descrizione;Descrizione;la:Set;crm:P67i_is_referred_to_by;crm:E33_Linguistic_Object;/;Nota descrittiva [aat:300435416]
"""La Descrizione ha un Contenuto Testuale""";Descrizione;contiene;Contenuto Testuale;crm:E33_Linguistic_Object;crm:P190_has_symbolic_content;xsd:string;/;/
"""La Descrizione è espressa in una lingua""";Descrizione;è espressa in;Lingua_1;crm:E33_Linguistic_Object;crm:P72_has_language;crm:E56_Language;/;"Italiano [aat:300388474]
Francese [aat:300388306]
Tedesco [aat:300388344]
Inglese [aat:300388277]
Olandese [aat:300388256]"
“Il Lotto ha indicazione del Numero di oggetti che lo compongono”;Lotto;ha numero oggetti;Numero oggetti;la:Set;crm:P57_has_number_of_parts;crm:E60_Number;/;/
"""Il Lotto ha una tipologia""";Lotto;ha tipologia;Tipologia_1;la:Set;crm:P2_has_type;crm:E55_Type;/;"Pittura (arti visive) [aat:300033618], Scultura (arti visive) [aat:300047090], Architettura [aat:300263552], Mosaici [aat:300015342], Decorative Arts [aat:300411641], Drawing [aat:300033973], Fotografie [aat:300046300], Litografie [aat:300041379], Stampe [aat:300041273], Mappe [aat:300028094], Frame [aat:300404391]. Oggetti archeologici [aat:300234110], Monete [aat:300037222], Argenteria [aat:300234152], Gioielli [aat:300209286], Pietre preziose [aat:300201964], Stained glass [aat:300263722], Naturalia [aat:300404125], Libri [aat:300028051], Manoscritti [aat:300265483], Miniature [aat:300033936], Musical Instrument [aat:300041620]
Armor [aat:300036745], Clothing [aat:300266639], Tessili (arti visive) [aat:300014063], Arazzi [aat:300205002], Furniture [aat:300037680], Maioliche [300021170]"
Relazione Lotto - Evento;;;;;;;;
“Il Lotto ha un Giorno di Vendita”;Lotto;ha giorno di vendita;Giornata di Vendita;la:Set;crm:P4_has_time-span;crm:E52_Time-Span;/;/
Creazione degli Oggetti;;;;;;;;
“L'Oggetto è stato Creato”;Oggetto;è stato prodotto da;Evento di Produzione;crm:E22_Human-Made_Object;crm:P108i_was_produced_by;crm:E12_Production;/;Production Statement [aat:300435436]
"“L'Evento di Creazione è avvenuto in un Luogo di produzione originario""";Evento di Produzione;è avvenuto in un Luogo di produzione originario;Luogo (Pisa);crm:E12_Production;crm:P7_took_place_at;crm:E53_Place;/;/
"“L'Evento di Creazione dell'oggetto è stata fatta usando una Tecnica Artistica""";Evento di Produzione;ha usato tecnica artistica ;Tecnica Artistica;crm:E12_Production;crm:P32_used_general_technique;crm:E55_Type [Tecnica_artistica];/;Tecnica (processo) [aat:300138082]
"""La Tecnica è di un tipo specifico""";Tecnica artistica;è di tipo;Tipo_1;crm:E55_Type [Tecnica_artistica];crm:P2_has_type;crm:E55_Type;;"Disegno	[aat:30003397 ,], Incisione	[aat:300041273 ],Scultura	 [aat:300264383], Mosaico	[aat:300014078 ],Affresco	[aat:300386202]	 , Tecnica ad Acquerello 	[aat:300053363]	, Oil painting [aat: 300178684], Painting techniques [aat:300053343], Gouache	[aat:300404215], Serigrafia	[aat:300053281]	
Litografia	[aat:300053271]	
Fotografia [aat:300046300]"
