canonical,variants,count
DELACROIX,"DELACROIX | DELACROIX (Attribue a EuGENE) | DELACROIX (Copie d'apres EuGENE) | DELACROIX (D'apres EuGENE) | DELACROIX (EUGENE | DELACROIX (EUGENE) | DELACROIX (Eugene) | DELACROIX EUGENE) | DELACROIX(Eug.) | DELACROIX, EUGENE | DELACROIX,EUGENE | Delacroix",596
BOUCHER,BOUCH | BOUCHARD | BOUCHARDON | BOUCHE | BOUCHER | BOUCHERON | BOUCHOR,441
COROT,"COROT | COROT (C.) | COROT(C.) | COROT, C. | Corot",366
ROBERT,ROBERT | ROBERTI | ROBERTSON | Robert,330
FRAGONARD,FRAGONARD | FRAGONARD (HONORE) | FRAGONARD (HoNORE) | FRAGONARD (Honore) | Fragonard,298
WATTEAU,WATTEAU | Wateau | Watteau,244
REMBRANDT,REMBRANDT | RemBranot | Rembrand | Rembrandt | Rembrandts | Rembranot,214
JONGKIND,JONG KIND | JONGH | JONGHE | JONGKIND | JONGKING,214
MILLET,MILLET | Millet,204
SAINT-AUBIN,SAINT-AUBIN | SAINT-AUBIN (AUG. DE) | SAINT-AUBIN (AUG.DE) | SAINT-AUBIN (AUGUSTIN DE) | SAINT-AUBIN (Attribue a) | SAINT-AUBIN (Augustin de) | SAINT-AUBIN (D'apres AuG. DE) | SAINT-AUBIN (D'apres AuG.) | SAINT-AUBIN (GABRIEL DE) | SAINT-AUBIN (GABRIEL de) | SAINT-AUBIN (GABRIEL-JAcQUEs DE) | SAINT-AUBIN (GERMAIN DE) | SAINT-AUBIN (Gabriel de) | SAINT-AUBIN (d'apres A.) | SAINT-AUBIN(A.DE),204
DAUMIER,DAUMIER | Daumier | H.DAUMIER | H.Daumier,185
ANDREAS ACHENBACH,ANDREAS ACHENBACH | ANDREASACHENBACH | Andreas ACHENBACH | Andreas Achenbach,183
DAVID TENIERS,DAVID TENIERS | DAVID TENIERS D. 1. | DAVID TENIERS D. ALTERE | DAVID TENIERS D. J. | DAVID TENIERS D. JUNGERE | DAVID TENIERS D.1. | DAVID TENIERS D.I. | DAVID TENIERS D.J. | DAVID TENIERS D.JUNGERE | DAVID TENIERS d. 1. | DAVID TENIERS d. A. | DAVID TENIERS d. J | DAVID TENIERS d. J. | DAVID TENIERS d.1. | DAVID TENIERS d.A. | DAVID TENIERS d.AItere | DAVID TENIERS d.Alt | DAVID TENIERS d.I. | DAVID TENIERS d.J | DAVID TENIERS d.J. | DAVID TENIERSKopie | David TENIERS | David TENIERS d. J. | David TENIERS d.J.,171
JAN VAN GOYEN,JAN VAN G0YEN | JAN VAN GOIJEN | JAN VAN GOOL | JAN VAN GOOLEN | JAN VAN GOYEN | JAN VAN GOyEN | JAN van GOIJEN | JAN van GOYEN | Jan VAN GOYEN | Jan van Boijen | Jan van GOIJEN | Jan van GOYEN | Jan van Goiien | Jan van Goijen | Jan van Goljen | Jan van Goyen,168
ROUSSEAU,ROUSSEAU | ROUSSEL | Roussel,166
BARYE,BARYE | Barye,161
HUET,HUBERT | HUET | Huet,157
CARL SPITZWEG,CARL SPITZWEG | CARLSPITZWEG | Carl SPITZWEG | Carl Spisweg | Carl Spitweg | Carl Spitzweg | KARL SPITZWEG | Karl Spitzweg,156
BOUDIN,BOUDIN | Boudin,154
P.P.RUBENS,P. P. RUBENS | P. P.RUBENS | P. P.Rubens | P.-P.RUBENS | P.P. RUBENS | P.P.RUBENS | P.P.Rubens | p.P.RuBens,153
BOILLY,BOILLY | BOILLY (JULES) | BOILLY (LoUIs),149
Ludwig Voltz,LUDWIG VOLTZ | LUDWIG VOLTZt | LUDWIGVOLTZ | Ludwig VOLTZ | Ludwig Volt | Ludwig Voltz,149
ZIEM,ZIEM | Ziem,146
SALVATOR ROSA,SALVATER ROSA | SALVATOR ROSA | SALVATORE ROSA | Saluator Rosa | Salvator Rosa | Salvatore Rosa,142
GUIDO RENI,GUIDO RENI | Guido RENI | Guido Reni,142
David Teniers,"David Teniers | David Teniers d. A. | David Teniers d. Ae. | David Teniers d. Aeltere | David Teniers d. Alt. | David Teniers d. J. | David Teniers d.A. | David Teniers d.HeIf | David Teniers d.J. | David Teniers der Aeltere | David Teniers der Altere | David Teniers, jun. | David d. J. Teniers",142
JAN STEEN,JAN STEEN | JAN v. STEEN | Jan STEEN | Jan Sfeen | Jan Steen,136
RUBENS,RUBENS | RuBENS | Rubens,136
Franz von Defregger,FRANZ DEFFREGGER | FRANZ DEFREGGER | FRANZ V. DEFREGGER | FRANZ VON DEFREGGER | FRANZ VONDEFREGGER | FRANZ von DEFREGGER | FRANZVONDEFREGGER | Franz Defregger | Franz v. Defregger | Franz von DEFREGGER | Franz von Defregger | Franz von Deiregger,136
FRANZ VON LENBACH,FRANZ LENBACH | FRANZ VON LENBACH | FRANZ VONLENBACH | FRANZ von LENBACH | Franz von LENBACH | Franz von Lenbach | Franz von Lenbad,134
Friedrich Voltz,FRIEDRICH JOHANN VOLTZ | FRIEDRICH JOHANNES VOLTZ | Friedrich Johann VOLTZ | Friedrich Johann Voltz | Friedrich Volt | Friedrich Voltz,133
Louis Reinhardt,LOUIS REINHARD | LOUIS REINHARDT | Louis Reinhard | Louis Reinhardt | Louis Reinhart,131
LARGILLIERE,"LARGILLIERE | LARGILLIERE (Ecole de N.) | LARGILLIERE (Genre de) | LARGILLIERE (N. de) | LARGILLIERE (N.de) | LARGILLIERE,N. | LARGILLIERRE | Largilliere | N. LARGILLIERE | N. Largilliere | N.Largilliere | NICOLAES DE LARGILLIERE | NICOLAS DE LARGILLIERE | NICOLAS LARGILLIERE | NICOLAUS DE LARGILLIERE | NICOLAUS LARGILLIERE | Nicolas de Largilliere | Nikolas de Largilliere",128
STEVENS,STAVEREN | STEEN | STEUBEN | STEVENS | Steen,126
GREUZE,GREUZE | GREuZE,124
Gabriel von Max,GABRIEL MAX | GABRIEL VON MAX | GABRIEL von MAX | Gab.von Max | Gabr. Max | Gabr.von Max | Gabriel Max | Gabriel v. Max | Gabriel v.Max | Gabriel voN MAX | Gabriel von Max,124
GUARDI,GUARDI | GUARDI G | Guardi,123
VERNET,VERITE | VERNE | VERNET | VERNIER | Vernet,121
DECAMPS,DECAMPS | Decamps,118
ADRIAEN BROUWER,ADRIAAN BROUWER | ADRIAEN BRAUWER | ADRIAEN BROUVER | ADRIAEN BROUWER | ADRIAEN BROWER | ADRIAENBROUWER | ADRIAN BRAUWER | ADRIAN BROUWER | Adriaan Brouwer | Adriaen BROUWER | Adriaen BROuWER | Adriaen Brouwer,116
PRUD'HON,PRUD'HON | PRUDHON | Prud'hon | Prudhon,115
LEBOURG,"LEBOURG | LEBOURG, A.",115
JACOB JORDAENS,JACOB J0RDAENS | JACOB JORDAENS | JACOB JORDEANS | JACOBJORDAENS | JAKOB JORDAENS | Jacob JORDAENS | Jacob Jordaens | Jakob Jordaens,112
TENIERS,TENIERS | TENRE | Tenner,112
HARPIGNIES,HARPIGNIES | HARPIGNIES (Henri) | HARPIGNIES HENRI | Harpignies,111
TIEPOLO,TIEOPLO | TIEPOLO | Tiepolo,110
RUYSDAEL,RUISDAEL | RUYSDAEL | RUySDAEL | Ruisdael | Ruysdael,110
EDUARD SCHLEICH,EDUAD SCHLEICH | EDUARD SCHARLACH | EDUARD SCHEICH SEN. | EDUARD SCHLEICH | EDUARD SCHLEICH D. ALT. | EDUARD SCHLEICH JR. | EDUARD SCHLEICH JUN. | EDUARD SCHLEICH SEN. | EDUARD SCHLEICH d. Ae. | EDUARD SCHLEICH d. Altere | EDUARD SCHLEICH d. J. | EDUARD SCHLEICH d.AIt. | EDUARD SCHLEICH d.AItere | EDUARD SCHLEICH d.Ae. | EDUARD SCHLEICH d.J. | EDUARD SCHLEICH jun. | EDUARD SCHLEICH sen | EDUARD SCHLEICH sen. | EDUARD SCHMIDT | Eduard SCHLEICH jun. | Eduard Schleich | Eduard Schleich d. A. | Eduard Schleich d. Ae. | Eduard Schleich d. I. | Eduard Schleich d. J. | Eduard Schleich d.A. | Eduard Schleich d.Ae. | Eduard Schleich d.J. | Eduard Schleich jr. | Eduard Schleich jun. | Eduard Schleich sen. | Eduard Schleich senior,110
JAN BRUEGHEL,JAN BREUGEL | JAN BREUGHEL | JAN BRUEGEL | JAN BRUEGHEL | Jan BRUEGHEL | Jan Breugel | Jan Breughel | Jan Brueghe1 | Jan Brueghel | Jan Brueghel I | Jan Brueghel I. | Jan van Breughel,109
LEPINE,LEPICIE | LEPINE | Lepicie | Lepine,109
MAX LIEBERMANN,MAX LIEBERMANN | MAXLIEBERMANN | MAXLIEBERRMANN | Max LIEBERMANN | Max Liebermann,109
Albert von Keller,ALBERT KELLER | ALBERT VON KELLER | ALBERT Von KELLER | ALBERT v.KELLER | ALBERT von KELLER | ALBERTVON KELLER | Albert Keller | Albert v. Keller | Albert v.Keller | Albert von Keller,109
GERICAULT,GERICAULT | Gericault,108
INGRES,INGRES | Ingres,106
MOREAU,MOREAU | MOREAU (LOUIS) | MOREAU (LoUIS) | MOREAU(LOUIS),106
MEISSONIER,MEISSONIER | MEISSONIER (ERNEST) | MEISSONIER (Ernest) | MEISSONNIER,105
ISABEY,ISABEY | Isabey,103
HANS THOMA,HANS THOMA | Hans Thoma,103
JAN MIENSE MOLENAER,JAN MIENSE M0LENAER | JAN MIENSE MOLENAAR | JAN MIENSE MOLENAER | JAN MIENSZE MOLENAER | JAN MIENZE MOLENAAR | JAN MIENZE MOLENAER | JAN MIENZEÂ·MOLENAER | JANMIENSEMOLENAER | Jan Mienie Molenaer | Jan Miense M0LENAER | Jan Miense MOLENAER | Jan Miense Molenaer | Jan Miensze Molenaer | Jan Mienze Molenaar | Jan Mienze Molenaer | Jan Mienze Molenear | Jan Mienze Moolenaer | Jan mienie Molenaer | Jan mienie molenaer,102
PETER PAUL RUBENS,PETER PAUIL RUBENS | PETER PAUL RUBENS | PETER PAULRUBENS | PETER PAULUS RUBENS | PETRUS PAUL RUBENS | PETRUS PAULUS RUBENS | Peter Paul RUBENS,102
FRANCOIS BOUCHER,FRANCESCO BOUCHER | FRANCOIS BOITARD | FRANCOIS BOSSUET | FRANCOIS BOUCHER | FRANCOIS BOULANGER | Francois BOUCHER | Francois Boucher | Frangois BOUCHER | Frangois Boucher | FranÃ§ois Boucher,100
Hugo Kauffmann,HUGO KAUFFMANN | HUGOKAUFFMANN | Hugo KAUFFMANN | Hugo Kauffmann,99
LAVREINCE,LAVREINCE | LAWREINCE,98
WILHELM TRUBNER,WILHELM TRUBNER | WILHELMTRUBNER | Wilhelm Trabner | Wilhelm Tribner | Wilhelm Triibner | Wilhelm Trubner | Wilhelm Truibner | Wilhelm TrÃ¼bner,97
Lucas Cranach,LUCAS CRANACH | Lucas CRANACH | Lucas Cranacdh | Lucas Cranach | Lucas Cranadh,96
RENOIR,RENOIR | RENOU | Renoir | Renouard,94
CONSTABLE,CONSTABLE,94
FRANS FRANCKEN,FRANS FRANCEN | FRANS FRANCKEN | FRANS FRANCKEN I | FRANS FRANCKEN II | FRANS FRANCKEN II. | FRANS FRANCKEN III | FRANS FRANCKENII | FRANS FRANKEN | FRANS FRANKEN II | FRANS FRANKENIII | FRANZ FRANCKEN | FRANZ FRANKEN | FRANZ FRANKEN II | Frans FRANCKEN | Frans Francken | Frans Francken I | Frans Francken II | Frans Francken II. | Frans Francken III | Frans Francken Il | Frans Franken,91
NATTIER,NATTIER | Nattier | Nattier pere,90
ADOLF STADEMANN,ADOLF STADEMANN | ADOLFSTADEMANN | ADOLPH STADEMAN | ADOLPH STADEMANN | Adolf STADEMANN | Adolf Stademan | Adolf Stademann | Adolph Stademann,90
GUILLAUMIN,"GUILLAUME KALF | GUILLAUMET | GUILLAUMIN | GUILLAUMIN, | GUILLEMARD | Guillaumet",89
CHARDIN,CHARDIN | CHARPIN,88
HANS VON BARTELS,HANS BARTELS | HANS VON BARTELS | HANS v.BARTELS | HANS von BARTELS | HANS yON BARTELS | HANSVON BARTELS | Hans Bartels | Hans v. Bartels | Hans von BARTELS | Hans von Bartels,88
LOVIS CORINTH,LOVIS CORINTH | Louis Corinth | Lovis Corinth,87
HEINRICH BURKEL,HEINRICH BURKEL | HEINRICH BuRKEL | Heinrich BURKEL | Heinrich Buchler | Heinrich Buirkel | Heinrich Burkel | Heinrich BÃ¼rkel | Heinrich BÃ¼rkÐµl | Heinrich Uhl-Bremen,86
NICOLAS POUSSIN,NICOLAS POUSSIN | NICOLAUS POUSSIN | Nicolaas Poussin | Nicolas POUSSIN | Nicolas Poussin | Nicolaus Poussin,85
RIGAUD,RIGAUD | Rigaud,84
JAN FYT,JAN FYT | Jan Fyf | Jan Fyt,83
ADRIAEN VAN OSTADE,ADRIAEN VAN 0STADE | ADRIAEN VAN DIEST | ADRIAEN VAN OSTADE | ADRIAN VAN OSTADE | Adriaen VAN OSTADE | Adriaen van Ostade,83
FRANS HALS,FRANS HALS | FRANZ HALS | Frans HALS | Frans Hals | Franz Hals | Franz Halz,83
Robert Schleich,ROBERT SCHLEICH | ROBERT SCHRAUDOLPH | ROBERT SCHULTZE | ROBERTSCHLEICH | Robert Schleich | Robert Schraudolph | Robert Schulte | Robert sCHLEICH,82
JACQUE,JACQUE | JACQUEMART | JACQUEMIN | JACQUES RUCH | JACQUET | Jacque,81
DEBUCOURT,DE COURT | DEBUCOURT,81
BOUDIN (E.),BOUDIN (E.) | BOUDIN (EUG.) | BOUDIN (Eug.) | BOUDIN(E.),81
OSTADE,OSTADE | Ostade,80
DAVID,DAVID | DAVIS | David,79
August Seidel,AUGUST RIEDEL | AUGUST SEIDEL | AUGUST SEIDL | AUGUST SIEGEN | AUGUST VON SEIDEL | August Riedel | August SEIDEL | August Seidel | August Seidl | August v.Riedel,79
REMBRANDT VAN RYN,REMBRANDT (VAN RHYN) | REMBRANDT (VAN RYN.A.) | REMBRANDT VAN RHYN | REMBRANDT VAN RIIN | REMBRANDT VAN RIJN | REMBRANDT VAN RYJN | REMBRANDT VAN RYN | REMBRANDT VON RIJN | REMBRANDT van RIJN | Rembrandt van Rhyn | Rembrandt van Riin | Rembrandt van Rijn | Rembrandt van Ryn,78
BREUGHEL,BREUGHEL | BREUGHELE | BRUEGHEL | BRUGHEL | Breughel | Brueghel,78
R.B.BROWNING,R.B. BROWNING | R.B.BROWNING | R.BARRETT BROWNING,78
GUSTAV SCHONLEBER,GUSTAV SCHOENLEBER | GUSTAV SCHONLEBER | GUSTAV SCHRAEGLE | GUSTAVSCHOENLEBER | GUSTAVSCHONLEBER | Gustav Ditscheiner | Gustav Schoenleber | Gustav Schonleber | Gustav Schraegle | Gustav SchÃ¶nleber | Gustav. Schonleber,78
J. Jungblut,J. JUNGBLUT | J. JUNGBLUTH | J. Jungblut | J. Jungbluth | J.JUNGBLUT | J.JUNGBLUTH | J.Jungblut | J.Jungbluth,78
Julius Scheuerer,JULIUS SCHEUERER | JULIUS SCHEURER | JULIUS SCHRADER | JULIUS SCHRAG | Julius SCHEUERER | Julius SCHRAG | Julius Scheuerer | Julius Scheurer | Julius Schgoer | Julius Schgoerr | Julius Schoppe | Julius Schrader | Julius Schrag,77
