canonical,variants,count
DELACROIX,"A.DELACROIX | DELACROIX | DELACROIX (Attribue a EuGENE) | DELACROIX (Copie d'apres EuGENE) | DELACROIX (D'apres EuGENE) | DELACROIX (EUGENE | DELACROIX (EUGENE) | DELACROIX (Eugene) | DELACROIX EUGENE) | DELACROIX(Eug.) | DELACROIX, EUGENE | DELACROIX,EUGENE | Delacroix | F.Delcroix | H.DELACROIX | H.E.Delacroix | LACROIX | LACROIX, P.",613
BOUCHER,"BOUCH | BOUCHARD | BOUCHARDON | BOUCHE | BOUCHER | BOUCHER (?) | BOUCHER (Atelier de Francois) | BOUCHER (Attribue a FRANcoIs) | BOUCHER (D'apres FRANcoIs) | BOUCHER (Ecole de) | BOUCHER (F.) | BOUCHER (FR.) | BOUCHER (FRANCOIS) | BOUCHER (Francois) | BOUCHER FR. | BOUCHER FRANCOIS | BOUCHER(F.) | BOUCHER(FRANCOIS) | BOUCHER(Fr.) | BOUCHER(Francois) | BOUCHER,FRANCOIS | BOUCHERON | BOUCHET (H.) | BOUCHET(A.) | BOUCHEZ (Ch.) | BOUCHOR | BOuCHER (Francois) | BOuCHER, F. | BoUCHER (Fr.) | Boucher | Boucher, Francois | Bouchet",523
ROBERT,A. HOBERT | A.HOBERT | A.ROBERT | H. ROBERT | ROBERT | ROBERT BAUER | ROBERT BUCHTGER | ROBERT EDUARD BARY | ROBERT HAUG | ROBERT KAMMERER | ROBERT KNOBEL | ROBERT KNOEBEL | ROBERT KRAUSE | ROBERT KUMMER | ROBERT LANGER | ROBERT NANTEUIL | ROBERT RAUDNER | ROBERT REIMANN | ROBERT REINHARD | ROBERT RICHTER | ROBERT STRANGE | ROBERT VON LANGER | ROBERT WALKER | ROBERTI | ROBERTI GRANDI | ROBERTKRAUSE | ROBERTSON | Robert | Robert ALOTT | Robert Bichtger | Robert Buchtger | Robert Gaillard | Robert Guba | Robert Haag | Robert Haug | Robert Hermann Raudner | Robert Knobel | Robert KrauB | Robert Laurie | Robert Nanteuil | Robert Rabe | Robert RuB | Robert von Haug | Sir Robert STRANGE | W. Robert,413
REMBRANDT,"P.Rembrand van Ryn | REMBRANDT | REMBRANDT (VAN RHYN) | REMBRANDT (VAN RYN.A.) | REMBRANDT HARM.VAN RHYN | REMBRANDT HARMENSZ | REMBRANDT HARMENSZ V. RIJN | REMBRANDT HARMENSZ VAN RHYN | REMBRANDT HARMENSZ VAN RIJN | REMBRANDT HARMENSZ VAN RYN | REMBRANDT HARMENSZ v.RIJN | REMBRANDT HARMENSZ. VAN RIJN | REMBRANDT HARMENSZ.VAN RIJN | REMBRANDT HARMENSZVAN RIJN | REMBRANDT Harmensz van Rijn | REMBRANDT V.R. | REMBRANDT VAN RHYN | REMBRANDT VAN RIIN | REMBRANDT VAN RIJN | REMBRANDT VAN RYJN | REMBRANDT VAN RYN | REMBRANDT VON RIJN | REMBRANDT v. RIJN | REMBRANDT v.RIJN | REMBRANDT v.RYN | REMBRANDT van RIJN | REMBRANDT,HARMENSZ v.RIN | REMBRANDT,HARMENSZVAN RIJN | REMBRANDTHARMENSZV.RIJN | REMBRANDTv.RIJN | RemBranot | Rembrand | Rembrandf v. Rijn | Rembrandf v.Rijn | Rembrandt | Rembrandt Barmensz D. Rijn | Rembrandt Harmensz v. Rijn | Rembrandt Harmensz van Rhin | Rembrandt Harmensz van Rijn | Rembrandt Harmensz van Ryn | Rembrandt Harmensz. van Rhyn | Rembrandt Harmensz. van Rijn | Rembrandt Harmensz.van Rijn | Rembrandt Harmenz van Ryn | Rembrandt o.Rijn | Rembrandt p. Rin | Rembrandt v. Rijn | Rembrandt v.Rijn | Rembrandt van Rhyn | Rembrandt van Riin | Rembrandt van Rijn | Rembrandt van Ryn | Rembrandt, Harmensz v. Rijn | Rembrandt, Harmensz van Rijn | Rembrandt, Harmensz van Ryn | Rembrandts | Rembrandts v. Rijn | Rembranot",389
COROT,"B.C.COROT | C.COROT | C.Corot | COROT | COROT (C.) | COROT(C.) | COROT, C. | CORTIS | Corot | Corsi",372
FRAGONARD,"FRAGONARD | FRAGONARD (Attribue a H.) | FRAGONARD (D'apres J.-H.) | FRAGONARD (D'apres) | FRAGONARD (FRANC0IS) | FRAGONARD (H.) | FRAGONARD (H.) Attribue a | FRAGONARD (HONORE) | FRAGONARD (HoNORE) | FRAGONARD (Honore) | FRAGONARD (J.-H.) | FRAGONARD (J:-H.) | FRAGONARD (JEAN-HONORE) | FRAGONARD (JEAN-HoNORE) | FRAGONARD (Jean-Honore) | FRAGONARD (d'apres) | FRAGONARD JEAN HONORE' | FRAGONARD(D'apres) | Fragonard | Fragonard,Jean-Honore | H. FRAGONARD | H. Fragonard | H.FRAGONARD | J. H. FRAGONARD | J. H. Fragonard | J.H.FRAGONARD",337
DAVID TENIERS,"DAVID ROENTGEN | DAVID TENIERS | DAVID TENIERS (THE YOUNGER) | DAVID TENIERS D. 1. | DAVID TENIERS D. ALTERE | DAVID TENIERS D. J. | DAVID TENIERS D. JUNGERE | DAVID TENIERS D.1. | DAVID TENIERS D.I. | DAVID TENIERS D.J. | DAVID TENIERS D.JUNGERE | DAVID TENIERS d. 1. | DAVID TENIERS d. A. | DAVID TENIERS d. Aelt | DAVID TENIERS d. J | DAVID TENIERS d. J. | DAVID TENIERS d.1. | DAVID TENIERS d.A. | DAVID TENIERS d.AItere | DAVID TENIERS d.Alt | DAVID TENIERS d.I. | DAVID TENIERS d.J | DAVID TENIERS d.J. | DAVID TENIERSKopie | DAVID TENNIERS | Dapid Ceniers | Dapid Teniers | Dapid Teniers d. Qlelt | David Ceniers | David TENIERS | David TENIERS d. J. | David TENIERS d.J. | David Teniers | David Teniers d. A. | David Teniers d. Ae. | David Teniers d. Aeltere | David Teniers d. Alt. | David Teniers d. J. | David Teniers d.A. | David Teniers d.HeIf | David Teniers d.J. | David Teniers der Aeltere | David Teniers der Altere | David Teniers, jun. | David d. J. Teniers",331
WILHELM TRUBNER,WILH. MARC | WILH. SOHN | WILH.MARC | WILHELM AHLBORN | WILHELM BADER | WILHELM BARTH | WILHELM BAUER | WILHELM BECKER | WILHELM BLANKE | WILHELM BOTTNER | WILHELM BRAUN | WILHELM BROCKER | WILHELM BROKER | WILHELM BUSCH | WILHELM DURR | WILHELM DUSCH | WILHELM GABRON | WILHELM GAIL | WILHELM GALLHOF | WILHELM GROGLER | WILHELM GROSSMANN | WILHELM JACKEL | WILHELM JORDAN | WILHELM KUHNERT | WILHELM LAAGE | WILHELM LAUTER | WILHELM MARC | WILHELM MARCK | WILHELM MULLER | WILHELM PORST | WILHELM RAUBER | WILHELM ROBART | WILHELM RUNZE | WILHELM SCHEUCHZER | WILHELM SCHIRMER | WILHELM SCHMIDT | WILHELM SCHMURR | WILHELM SCHREUER | WILHELM SCHREYER | WILHELM SCHROTER | WILHELM SCHUTZE | WILHELM SCHWAR | WILHELM SOHN | WILHELM SPRENGER | WILHELM TRUBNER | WILHELM WAGNER | WILHELMBLANKE | WILHELMBROCKER | WILHELMHELLER | WILHELMSCHREUER | WILHELMSCHWAR | WILHELMTRUBNER | WILHEM SCHWAR | WILLIAM UNGER | Wilh. Marc | Wilh. Mark | Wilhelm BADER | Wilhelm Bader | Wilhelm Bartsch | Wilhelm Blanke | Wilhelm Boettner | Wilhelm Boshart | Wilhelm Brandenburg | Wilhelm Busch | Wilhelm Duirr | Wilhelm Durr | Wilhelm Durr d. J. | Wilhelm Durr der Jungere | Wilhelm Gabron | Wilhelm Grogler | Wilhelm Kuhnert | Wilhelm Marc | Wilhelm Marx | Wilhelm Ohans | Wilhelm Ohaus | Wilhelm Porst | Wilhelm Rauber | Wilhelm Rohr | Wilhelm RÃ¤uber | Wilhelm SCHMETZ | Wilhelm Schade | Wilhelm Scheuchzer | Wilhelm Schirmer | Wilhelm Schitze | Wilhelm Schmet | Wilhelm Schmietz | Wilhelm Schmurr | Wilhelm Schreuer | Wilhelm Schroeter | Wilhelm Schube | Wilhelm Schuitze | Wilhelm Schulz | Wilhelm Schutze | Wilhelm Schwarz | Wilhelm Sohn | Wilhelm Sprenger | Wilhelm Thony | Wilhelm Trabner | Wilhelm Tribner | Wilhelm Triibner | Wilhelm Trubner | Wilhelm Truibner | Wilhelm TrÃ¼bner | Wilhelm Unger | Wilhelm v. Busch | Wilhelm yon Kuigelgen,320
HEINRICH BURKEL,Friedrich Weber | HEINR. HERMANNS | HEINR. VON BURKEL | HEINRICH ARDEN | HEINRICH ASTER | HEINRICH BRELING | HEINRICH BURKEL | HEINRICH BuRKEL | HEINRICH DAUER | HEINRICH DEITERS | HEINRICH DEUCHERT | HEINRICH FAUST | HEINRICH FUNK | HEINRICH GARTNER | HEINRICH GATKE | HEINRICH GREBER | HEINRICH HEGER | HEINRICH HEINE | HEINRICH HEINLEIN | HEINRICH HERMANNS | HEINRICH HUBNER | HEINRICH KAVEN | HEINRICH KLEY | HEINRICH KOCH | HEINRICH LEITNER | HEINRICH LESSING | HEINRICH NAUEN | HEINRICH NEPPEL | HEINRICH OHRING | HEINRICH RETTIG | HEINRICH SPERLING | HEINRICH STEINIKE | HEINRICH STELZNER | HEINRICH WEBER | HEINRICH WINTER | HEINRICHHERMANNS | HEINRICHWINTER | Heinr. Burkel | Heinr. Hermanns | Heinr. Zugel | Heinrch Brune | Heinrich Andriessens | Heinrich BURKEL | Heinrich Birkel | Heinrich Bogaert | Heinrich Breling | Heinrich Buchler | Heinrich Buirkel | Heinrich Burkel | Heinrich Burkels Art | Heinrich Burker | Heinrich Burnitz | Heinrich BÃ¼rkel | Heinrich BÃ¼rkÐµl | Heinrich Deiters | Heinrich Deuchert | Heinrich Dietz-Minchen | Heinrich Eisner | Heinrich FUNK | Heinrich Gatke | Heinrich Heinlein | Heinrich Hermanns | Heinrich Hermans | Heinrich Hessner | Heinrich Jacob Tischbein | Heinrich Kley | Heinrich Leinweber | Heinrich Leitner | Heinrich Lessing | Heinrich Meichelt | Heinrich Neppel | Heinrich Nuesser | Heinrich Recker | Heinrich Recker-Coln | Heinrich Rellig | Heinrich Retfig | Heinrich Rettich | Heinrich Rettig | Heinrich Sintzenich | Heinrich Sperling | Heinrich Spieb | Heinrich Steinhagen | Heinrich Stelzner | Heinrich Stuhlmann | Heinrich Thiele | Heinrich Tischbein | Heinrich Uhl-Bremen | Heinrich Verschuuring | Heinrich Weber | Heinrich Wettich | Heinrich Wettig | Heinrich Wieschebrink | Heinrich de Klerck | Heinrich von Birkel,309
FERDINAND BOL,FERDINAND | FERDINAND BAUER | FERDINAND BELLERMANN | FERDINAND BOL | FERDINAND BRAUER | FERDINAND FELDHUTTER | FERDINAND FELLNER | FERDINAND HEILBUTH | FERDINAND HODLER | FERDINAND KELLER | FERDINAND KNAB | FERDINAND KOBELL | FERDINAND KOENIG | FERDINAND LEEKE | FERDINAND MELLY | FERDINAND OSTER | FERDINAND PACHER | FERDINAND PETZL | FERDINAND PILOTY | FERDINAND PILOTY D.J. | FERDINAND PILOTY d.J. | FERDINAND ROYBET | FERDINAND ROyBET | FERDINAND SCHWERDFEGER | FERDINAND SPIEGEL | FERDINAND STIFTER | FERDINAND VON KELLER | FERDINAND VON PILOTY | FERDINAND WAGNER | FERDINAND WALDMULLER | FERDINANDVON PILOTY | FERDINANDWAGNER | Ferd. Petzl | Ferdinad Feldhitter | Ferdinand | Ferdinand BOL | Ferdinand Bellermann | Ferdinand Bol | Ferdinand Diehl | Ferdinand Elle | Ferdinand Feldhitter | Ferdinand Feldhuitter | Ferdinand Feldhuter | Ferdinand Feldhutter | Ferdinand Flor | Ferdinand Heilbuth | Ferdinand Hodler | Ferdinand Hoppe | Ferdinand Jodl | Ferdinand KNAB | Ferdinand Keller | Ferdinand Knab | Ferdinand Kobell | Ferdinand Konig | Ferdinand Lechner | Ferdinand Leeke | Ferdinand Liehr | Ferdinand Mallitsch | Ferdinand Marohn | Ferdinand Meyer | Ferdinand Nockher | Ferdinand Opitz | Ferdinand Pacher | Ferdinand PetI | Ferdinand Petl | Ferdinand Petzel | Ferdinand Petzl | Ferdinand Piloty | Ferdinand Piloty d. J. | Ferdinand Pondel | Ferdinand ReiB | Ferdinand Spiegel | Ferdinand Staeger | Ferdinand Voet | Ferdinand Wagner | Ferdinand de Fusco | Ferdinand von Kobell | Ferdinand von PILOTY | Ferdinando Galli | Serdinand Bol | ferdinand feeke,266
MILLET,MALLET | MILLER | MILLET | Mallet | Miller | Millet | Muiller,264
