catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4389,9,2,1O. LOTTO di circa 85 chiavi di bronzo di scavo.,2. 1O. LOTTO di circa 85 chiavi di bronzo di scavo.
documents/BO0624_4389,2,11,CALICE di metallo dorato a largo piede e nodo con ornati. (Secolo XV).,"11. CALICE di metallo dorato a largo piede e nodo con ornati. (Secolo XV).

Alt. M. 0.20."
documents/BO0624_4389,12,2,labro e un coperchio di bronzo di scavo.,2. labro e un coperchio di bronzo di scavo.
documents/BO0624_4389,3,14,OTTO STRIGILI di bronzo di scavo.,14. OTTO STRIGILI di bronzo di scavo.
documents/BO0624_4389,28,30,LA MADONNA e San Giovannino adoranti il Bambino Gesù. Tavola senza cornice con sfondo di paesaggio.,"30. LA MADONNA e San Giovannino adoranti il Bambino Gesù. Tavola senza cornice con sfondo di paesaggio.

Alt. M. 1.05 - Larg. M. 0.66.

## NERI DI BICCI.

(1415-1451)."
documents/BO0624_4389,40,11,"PoLIe e Nel centro l'assunzione della Madonna con San Tom maso e vari devoti; ai lati Santa Chiara, Sant' Ambrogio, San Nicolò da Tolentino, Sant'Agostino, Sant'Antonio abate e Sant' Apollonia. Tavola.","11. PoLIe e Nel centro l'assunzione della Madonna con San Tom maso e vari devoti; ai lati Santa Chiara, Sant' Ambrogio, San Nicolò da Tolentino, Sant'Agostino, Sant'Antonio abate e Sant' Apollonia. Tavola.

Vedi Illustrazione, Tav. 7.

Alt. M. 2.25 - Larg. M. 1.25.

## SCUOLA MARCHEGIANA."
documents/BO0624_4389,11,42,"DUE SPORTELLI d'organo raffiguranti l'Annunciazione, dipinti su","42. DUE SPORTELLI d'organo raffiguranti l'Annunciazione, dipinti su

Alt. M. 2.30 - Larg. M. I.

- tavola con fondo di paesaggio."
documents/BO0624_4389,79,2,8o. SANTO VESCOVO. Grande statua di legno scolpito e policromato. Secolo XVII.,"2. 8o. SANTO VESCOVO. Grande statua di legno scolpito e policromato. Secolo XVII.

## Argenti."
documents/BO0624_4389,2,81,LUCERNA a olio in argento. Secolo XVIII. Gr. 0.85°.,81. LUCERNA a olio in argento. Secolo XVIII. Gr. 0.85°.
documents/BO0624_4389,109,6,IIO. DUE PICCOLI LEONI antichi in cristallo di rocca con piedestallo.,6. IIO. DUE PICCOLI LEONI antichi in cristallo di rocca con piedestallo.
documents/BO0624_4389,7,1,"UN SECCHIELLO senza manico, un vaso a pancia schiacciata.","- II1. UN SECCHIELLO senza manico, un vaso a pancia schiacciata.
- Bronzi."
documents/BO0624_4389,1,112,RYTON di bronzo a testa di cervo con occhi d'argento.,112. RYTON di bronzo a testa di cervo con occhi d'argento.
documents/BO0624_4389,117,4,tavoletta ricoperta di stoffa rossa. Pezzi 37.,4. tavoletta ricoperta di stoffa rossa. Pezzi 37.
documents/BO0624_4389,6,120,OENOCHOÈ in bronzo.,"120. OENOCHOÈ in bronzo.

Alt. M. 0.34-"
documents/BO0624_4389,140,143,TRE RITRATTI di fanciulli a mezzo busto con cane. Tela in cornice LUNETTA DI POLITTICO. Cristo benedicente e l'Annunciazione. Tavola.,"143. TRE RITRATTI di fanciulli a mezzo busto con cane. Tela in cornice

M. 0.60 X 0.47.

Alt. M. I.12 - Larg. M. 0.73.

## BARTOLOMEO VIVARINI.

(Secolo XV).

Yale lemi lezi far. MAONNA e ambino in trono con quattro angioletti mosi: canti. Quadro in tavola. Cornice dorata. Perfetta conservazione.

Vedi Illustrazione, Tav. 10.

## SCUOLA UMBRA.

(Secolo XV). 142. LUNETTA DI POLITTICO. Cristo benedicente e l'Annunciazione. Tavola.

Alt. M. 0.7I - Larg. M. 1.70.

Alt. M. 1.12 - M. 0.65.

## OTTAVIANO NELLI."
documents/BO0624_4389,150,15,I. MADONNA e Bambino in trono con Santi ed Angeli. Predellino,"- 15I. MADONNA e Bambino in trono con Santi ed Angeli. Predellino

Alt. M. 1.12 - Larg. M. 0.52.

- con strage degli Innocenti. Pittura su tavola. Tabernacolo dorato.

## SCUOLA BIZANTINA."
documents/BO0624_4389,15,152,"MADONNA, Bambino e San Giovannino. Tavola, cornice inta- gliata e dorata.","152. MADONNA, Bambino e San Giovannino. Tavola, cornice inta- 2. gliata e dorata.

Alt. M. 0.65 - Larg. M. 0.50.

M. 1. 16 X 1. 16.
<!-- image -->

## BALDASSARE PERUZZI.

(Secolo XVI)."
documents/BO0624_4389,159,60,FALCIONE in Ferro con stemma inciso ai due lati e asta di legno. (Secolo XVI).,- I60. FALCIONE in Ferro con stemma inciso ai due lati e asta di legno. (Secolo XVI).
documents/BO0624_4389,60,161,ELMO a calata in ferro cesellato. Lavoro italiano. (Secolo XVI).,161. ELMO a calata in ferro cesellato. Lavoro italiano. (Secolo XVI).
