index,num,title,text,catalogue_id,image_online
1,I2,## FRANCOIS POURBUS (DIT LE JEUNE).,"I2

## FRANCOIS POURBUS (DIT LE JEUNE).

## Ecolefamande,1570-1622

Portrait de gentilhomme flamand represente a mi-jambe.

Le modele,un homme d'unetrentaine d'annees, est vetu a la mode de la fin du xvie siecle. Pourpoint a crevees de drap vert-olive, allonge comme la cuirasse dite: en bosse de polichinelle,manches tailladees en soie lie de vin, chausses amples en drap noir. Grande fraise de toile et manchettes tuyautees. La main gauche est appuyee sur une rapiere a garde compliquee d'acier fourbi,la main droite tient des gants en peau de daim.

Au fond une colonnade et une vue de chateau avec jardin.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000071-p.%208.jpg/full/max/0/default.jpg
2,I,nscription:ETATIS SUE:..6.(26) 1594,"Inscription:ETATIS SUE:..6.(26) 1594

Bois, Haut.1.20;Larg.o.go.

## ADRIEN KEY

Ecole flamande,xvie siecle

## Portrait d'homme.

Tete energique, de type bien flamand, d’un homme de trente-cinq ans environ.

Teint colore, yeux bleus, cheveux drus coupes court, barbe negligee, menton saillant, levres accentuees.

Costume de la fin du xvie siecle.

Pourpoint noir uni a fraise tuyautee.

Bois, Haut, o 45; Larg.0.32.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000071-p.%208.jpg/full/max/0/default.jpg
3,I3,## INCONNU. MoNOGRAMME H.A.D.fec.,"I3

## INCONNU. MoNOGRAMME H.A.D.fec.

Ecole flamande,xvire siecle

## Vanitas.

Dans une niche pratiquee dans lepaisseur d'un mur sont groupes : une tete de mort jaunie par l'humus, une lampe de terre, un bouquet de feurs, etc. Une bulle de savon plane a la partie superieure du tableau. Panneau marque, au feu, des armes d'Anvers.

Bois.Haut.o.46;Larg.o.35.

JEAN DE BRAY

Harlem1697

## Portrait d'homme.

Le modele est represente en buste vetu d'un pourpoint noir uni, sur lequel tranche une large collerette blanche. Figure pleine et coloree, empreinte de melancolie et de fermete. Regard divergeant. Longs cheveux blonds boucles, petite moustache.

Signe : J. BRAy.

Bois,Haut.o.7o;Larg.o.54",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000082-p.%209.jpg/full/max/0/default.jpg
4,16,## PIERRE-ALEXANDRE WILLE,"16

## PIERRE-ALEXANDRE WILLE

## Peintre du roi(Paris) 1748-1821

Ecole francaise.

## Portrait de jeune dame.

Le modele,represente jusqu’aux genoux, semble age de vingt-cinq a vingt-six ans;il est assis sur un sopha et appuye sur d'amples coussins recouverts de damas de soie d''un ton dore.La figure est reguliere et avenante,encadree d'une ample coiffure a marabouts dans le gout des dernieres annees du regne de Louis XVI. La robe de satin blanc, galonnee de ruban rose,est tres ouverte sur la poitrine;le sein transparait a travers le fichu de gaze. Sans doute d'agreables souvenirs s'évoquent dans l'esprit de la jeune femme qui fixe en souriant un portrait et d'un geste de la main portee a la bouche semble esquisser un baiser adresse a l'absent.

Signe: P.A.WILLE, flius pinxit, 1778 (et le n°45).

Voir la notice sur ce meme tableau dans la Gazette des

Toile. Haut.o 73; Larg o.58.

Beaux-Arts, année 188g, 1er semestre,page 423,ou il est reproduit en gravure.

## P.-P.RUBENS (Attribue a)

Ecole flamande,1577-1640

## Lions portant des amours.

Deux petits genies ailes, portant des fambeaux, chevauchent des lions.

Toile. Haut. 1.7o; Larg.1.80.

La facture large et facile de ce panneau plaide l'attribution qui en a ete faite par beaucoup de connaisseurs au genial decorateur des fetes offertes par Anvers aux archiducs Albert et Isabelle.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000091-p.%2010.jpg/full/max/0/default.jpg
5,18,19,"18

19

## DAvID TENIERS (Attribue a)

Ecole flamande,161o-16go.

## Fete villageoise flamande.

Des paysans sont reunis a la limite d'un village, pres d'une auberge. Le cornemuseux, monte sur un tonneau, sonne le branle qu'execute un couple de jeunes danseurs, sans doute reputes, car les groupes attables ou debout au fond suivent leurs evolutions avec un visible interet. Une exception toutefois a faire,un ivrogne assoupi sur un tonneau,au premier plan,a gauche,ronfe en tournant le dos aux dan- seurs.

A droite, au premier plan egalement, un pittoresque amas de balais, terrines et chaudrons. A droite aussi une echappee de paysage.

Provient du cabinet Van Hove, de Gand.Monogramme.

Bois, Haut.o.43; Larg o.50.

## LE MEME (D'apres)

## Le Diner champetre.

Une famille noble, dans laquelle il n'est pas difficile de reconnaitre Teniers et les siens, dine en plain air. Des musiciens ambulants ajoutent au repas le charme hypothetique d'une symphonie de plein air. Jolie etude executee,d'apres le tableau original, par Eugene de Block.

Toile,Haut.o.24;Larg.o.30.

## LE MEME (D'apres)

## Philemon et Baucis.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000092-p.%2011.jpg/full/max/0/default.jpg
6,I,"nterieur rustique encombre d'ustensiles et eclaire par une fenetre ensoleillee. Une vieille femme lit, un vieillard appuye sur deux batons l'ecoute. Jolie copie, executee par le peintre gantois J. Geirnaert.","Interieur rustique encombre d'ustensiles et eclaire par une fenetre ensoleillee. Une vieille femme lit, un vieillard appuye sur deux batons l'ecoute. Jolie copie, executee par le peintre gantois J. Geirnaert.

Toile.Haut.o.24;Larg.0.20.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000092-p.%2011.jpg/full/max/0/default.jpg
7,20,2I,"20

2I",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000101-p.%2012.jpg/full/max/0/default.jpg
8,212,23,"212

23

## ANToINE VAN DYCK (Attribue a)

Ecole famande159g·1641

## Saint Jean et l'Enfant Jesus.

Ebauche.

Toile.Haut.1.1o;Larg.o.70.

Provient de la vente Van Hanselaere.

DIRCK HALS (Attribuee a)

Ecolehollandaise656

## Portrait d'homme

Costume du xvile siecle. Large fraise tuyautee. Tete d'homme de cinquante ans, vigoureusement modelee.

Bois.Haut,o.45;Larg.o.34.

## BOYERMANS

Saint Charles Borromee donnant lextreme-onction a des pestiferes.

Esquisse.

Toile. Haut.o.34;Larg.0.28.

ANT.VAN DYCK(D'apres)

La Vierge aux donateurs.

Bonne copie du tableau du Louvre.

Toile. Haut.o.7o;Larg.o.40.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000101-p.%2012.jpg/full/max/0/default.jpg
9,25,26,"25

26",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000112-p.%2013.jpg/full/max/0/default.jpg
10,27,## J.F.BARBIERI dit le GUERCHIN,"27

## J.F.BARBIERI dit le GUERCHIN

Ecole italienne,1591-1666

## La Curiosite.

Trois filles d'Eve auxquelles, apparemment,on a defendu de se rendre compte de ce que renferme un vaste panier, succombenta l'invincible tentation;l'une d'elles souleve lecouverprudemment a l'écart. Un serpent apparaissant par I'hiatus des clissages, prouve que les curieuses a cle non sans quelqu'apprehension.Les deux autres se tiennent avaient raison de se mefier et auront lieu bientot de se repentir.

Toile, Haut.1.35;Larg.I.40.

BARTH. EsTEB. MURILLO (Attribué a)

Ecole espagnole,1618-1682

Vierge a l'Enfant.

La Vierge assise est plongee dans une lecture. L'Enfant Jesus, debout sur le giron de sa mere,lui passe le bras autour du cou.

Toile. Haut. o 72; Larg.0 60.

## INCONNU

Ecole famande, xvie siecle

La Vierge, couronnee de roses,allaite l'Enfant Jesus.

Armoiries au fond.

Toile.Haut.o.8o;Larg.o.60

LE CORREGE (D'apres)

Marie-Madeleine au desert.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000112-p.%2013.jpg/full/max/0/default.jpg
