dir_name,value,type,line_number,page_image
BO0614_87918,Jan Both,artist,7,BO0614_87918_000042-p. [1].jpg
BO0614_87918,Olgemalde alter Meister,object_type,19,BO0614_87918_000042-p. [1].jpg
BO0614_87918,Jacques d'Arthois,artist,23,BO0614_87918_000042-p. [1].jpg
BO0614_87918,A.van Borssom,artist,35,BO0614_87918_000042-p. [1].jpg
BO0614_87918,W.Berents,artist,45,BO0614_87918_000042-p. [1].jpg
BO0614_87918,Art des Paul Bril,school,52,BO0614_87918_000051-p. 2.jpg
BO0614_87918,Adriaen Brouwer,artist,60,BO0614_87918_000051-p. 2.jpg
BO0614_87918,Jan Brueghel,artist,70,BO0614_87918_000051-p. 2.jpg
BO0614_87918,Hendrik van Balen,artist,70,BO0614_87918_000051-p. 2.jpg
BO0614_87918,Pieter Brueghel d. J.,artist,78,BO0614_87918_000051-p. 2.jpg
BO0614_87918,Giovanni Benedetto Castiglione,artist,83,BO0614_87918_000052-p. 3.jpg
BO0614_87918,Graf Carlo Cignani,artist,91,BO0614_87918_000052-p. 3.jpg
BO0614_87918,Lukas Cranach d. Ae.,artist,107,BO0614_87918_000052-p. 3.jpg
BO0614_87918,Anthony Jansz van der Croos,artist,117,BO0614_87918_000052-p. 3.jpg
BO0614_87918,Aelbert Cuyp,artist,131,BO0614_87918_000052-p. 3.jpg
BO0614_87918,Karel Du Jardin,artist,158,BO0614_87918_000061-p. 4.jpg
BO0614_87918,William Gouw Ferguson,artist,166,BO0614_87918_000061-p. 4.jpg
BO0614_87918,Frans Floris,artist,174,BO0614_87918_000061-p. 4.jpg
BO0614_87918,Johann von Fockenberg,artist,186,BO0614_87918_000061-p. 4.jpg
BO0614_87918,Frans Francken d. A.,artist,194,BO0614_87918_000061-p. 4.jpg
BO0614_87918,Jan Fyt,artist,213,BO0614_87918_000062-p. 5.jpg
BO0614_87918,P.Gallee,artist,223,BO0614_87918_000062-p. 5.jpg
BO0614_87918,Jan Paul Gillemans,artist,235,BO0614_87918_000062-p. 5.jpg
BO0614_87918,J.H.Gryeff,artist,243,BO0614_87918_000062-p. 5.jpg
BO0614_87918,Willem Klaasz Heda,artist,257,BO0614_87918_000062-p. 5.jpg
BO0614_87918,Gerard Hoet,artist,274,BO0614_87918_000071-p. 6.jpg
BO0614_87918,Abraham Janssens van Nuyssen,artist,294,BO0614_87918_000071-p. 6.jpg
BO0614_87918,Alexander Keirincx,artist,300,BO0614_87918_000071-p. 6.jpg
BO0614_87918,Johann Kupetzky,artist,312,BO0614_87918_000071-p. 6.jpg
BO0614_87918,Jan van Huchtenburgh,artist,328,BO0614_87918_000071-p. 6.jpg
BO0614_87918,W.Lansius,artist,333,BO0614_87918_000071-p. 6.jpg
BO0614_87918,Charles Lebrun,artist,341,BO0614_87918_000072-p. 7.jpg
BO0614_87918,Abraham Louis van Loo,artist,357,BO0614_87918_000072-p. 7.jpg
BO0614_87918,Gerrit Lundens,artist,365,BO0614_87918_000072-p. 7.jpg
BO0614_87918,Karel van der Mander der Altere,artist,379,BO0614_87918_000072-p. 7.jpg
BO0614_87918,Michiel Jansz Mierevelt,artist,390,BO0614_87918_000072-p. 7.jpg
BO0614_87918,Art des M. J. Mierevelt,school,406,BO0614_87918_000081-p. 8.jpg
BO0614_87918,Francois Millet,artist,410,BO0614_87918_000081-p. 8.jpg
BO0614_87918,Klaes Molenaer,artist,428,BO0614_87918_000081-p. 8.jpg
BO0614_87918,Pieter de Molyn,artist,457,BO0614_87918_000081-p. 8.jpg
BO0614_87918,Giovanni Battista Moroni,artist,471,BO0614_87918_000082-p. 9.jpg
BO0614_87918,J.Mathys Naiveu,artist,477,BO0614_87918_000082-p. 9.jpg
BO0614_87918,Niederlandische Schule,school,493,BO0614_87918_000082-p. 9.jpg
BO0614_87918,Izaak van Ostade,artist,505,BO0614_87918_000082-p. 9.jpg
BO0614_87918,Schule des Rembrandt,school,526,BO0614_87918_000082-p. 9.jpg
BO0614_87918,Theodor Rombouts,artist,538,BO0614_87918_000091-p. 10.jpg
BO0614_87918,David Ryckaert,artist,548,BO0614_87918_000091-p. 10.jpg
BO0614_87918,Adam Pijnacker,artist,560,BO0614_87918_000091-p. 10.jpg
BO0614_87918,Art des Paul Potter,school,574,BO0614_87918_000091-p. 10.jpg
BO0614_87918,Roeland Savery,artist,579,BO0614_87918_000091-p. 10.jpg
BO0614_87918,Otho Marcellis van Schrieck,artist,595,BO0614_87918_000092-p. 11.jpg
BO0614_87918,Heinrich Wilhelm Schweickhardt,artist,607,BO0614_87918_000092-p. 11.jpg
BO0614_87918,Alexander Maximilian Seitz,artist,621,BO0614_87918_000092-p. 11.jpg
BO0614_87918,Herman van Swanevelt,artist,640,BO0614_87918_000092-p. 11.jpg
