canonical,variants,count
ECOLE FRANCAISE,ECOLE DE FRANCONIE | ECOLE FRANCAISE | ECOLE FRANCAISE 1830 | ECOLE FRANCAISE DE 1830 | ECOLE FRANCAISE DU NORD | ECOLE FRANCAISE ENVIRON 1635 | ECOLE FRANCAISE MODERNE | ECOLES FRANCAISE | FCOLE FRANCAISE | LECOLE FRANCAISE | PEINTURE FRANCAISE,1556
ECOLE HOLLANDAISE,ECOLE ANGLAISE | ECOLE CANGLAISE | ECOLE FERRARAISE | ECOLE FRANGAISE | ECOLE FRANQAISE | ECOLE GENOISE | ECOLE HOLLANDAISE | ECOLE HONGROISE | ECOLE LYONNAISE | ECOLE MILANAISE | ECOLE NAVARRAISE | ECOLE VERONAISE | ECOLEANGLAISE | ECOLEFRANCAISE | ECOLEHOLLANDAISE | ECOLES ANGLAISE,525
Scuola Olandese,NIEDERLANDE | NIEDERLANDISCH | NIEDERLANDISCH FLAMISCH | NIEDERLANDISCH-DEUTSCHER MEISTER | NIEDERLANDISCHE KUNSTLER | NIEDERLANDISCHE MEISTER | NIEDERLANDISCHE SCHUI.E. | NIEDERLANDISCHE SCHUILE | NIEDERLANDISCHE SCHULE | NIEDERLANDISCHE SCHULE DES | NIEDERLANDISCHE SCHULEN | NIEDERLANDISCHEN SCHULE | NIEDERLANDISCHER KUNSTLER | NIEDERLANDISCHER MALER | NIEDERLANDISCHER MANIERIST | NIEDERLANDISCHER MEISTER | NIEDERLANDISCHER STILLEBENMALER | NIEDERLANDISCHESCHULE | NIEDERLANDISCHITALIENISCHER MEISTER | Niederlander | Niederlandifche Kinifler | Niederlandifche Kunifler | Niederlandifche Scdule | Niederlandifche Scthule | Niederlandifche Sdhule | Niederlandifcthe Kunifler | Niederlandiice Sdule | Niederlandiiche Scdhule | Niederlandiiche Scule | Niederlandiiche Sdule | Niederlandiicthe Sdule | Niederlandiicther Meifter | Niederlandilche Scdhule | Niederlandiscb | Niederlandisch | Niederlandische Kinstler | Niederlandische Kuinstler | Niederlandische Meister | Niederlandischer Kuinstler | Niederlandischer Meister | SCUOLA OLANDESE | Scuola Fiamminga e Olandese | Scuola Olandese | Scuola olandese,506
ECOLE ITALIENNE,ECOLE ALIEMANDE | ECOLE ALLEMANDE | ECOLE ITALIENNE | ECOLEALLEMANDE | ECOLEITALIENNE | ECOLES ALLEMANDE | ECOLES ITALIENNE,491
ECOLES ITALIENNES,ECOLE D'ITALIE | ECOLES D'ITALIE | ECOLES ITALIENNES | ITALIENISCHE SCHULE | ITALIENISCHE SCHULEN | ITALIENISCHEN SCHULE | ITALIENISCHESCHULE | ITALIENISCHESCHULEUM | Italienifdhe Sdhule | Italienische Schule | Italienische Schulen | Italienischer Landschatfsmaler | italienische Schule,489
DEUTSCHE SCHULE,DEUTSCH | DEUTSCHE SCHULE | DEUTSCHEN SCHULE | DEUTSCHESCHULE | Deutsch | Deutsche | Deutsche Schule | Deutsche Schule (neuere) | Deutsche Schulen | Deutschland | deutsche Schule,408
ECOLE FLAMANDE,ECOLE FLAMANDE | ECOLEFLAMANDE | ECOLES FLAMANDE | ECOLEÂ·FLAMANDE | Ecolefamande,336
Niederlandische Schule,"DUTCH AND FLEMISH SCHOOLS | DUTCH.AND FLEMISH SCHOOLS | Miederlandische Schule | Miederlundifche Schule | Niederland. Schule | Niederlander Schule | Niederlandifche Schule | Niederlandifche Shule | Niederlandifcthe Schule | Niederlandiiche Schule | Niederlandiichie Schule | Niederlandiicthe Schule | Niederlandiide Schule | Niederlandilche Schule | Niederlandisce Schule | Niederlandische Schule | Niederlandische Schule um 16oo | Niederlandische Schulen | Niederlandische,vlamische und hollandische Schule | Niederlindifche Schule | NiederlÃ¤ndische Schule | Niederrheinische Schule | Riederlandiiche Schule | Yiederlandifche Schule | YiederlÄndifche Schule | Ytiederlandifche Schule | Ziederlandische Schule | iederlandifche Schule | liederlandifche Schule | niederlandischer Schule | niederlÃ¤ndische Schule",268
Franzosischer Meister,Franzofide Sdule | Franzofifche Schule | Franzofifdher Mleifter | Franzofiice Schule | Franzofiiche Schule | Franzofilche Schuie | Franzoiicthe Scule | Franzoliche Schule | Franzoliche Shule | Franzolifche Schule | Franzolifcthe Schule | Franzolifdhe Schule | Franzolifthe Schule | Franzoliiche Schule | Franzoliiche Shule | Franzolithe Schule | Franzos. Meister | Franzosen | Franzosiscdhe (?) Sdhule | Franzosisch | Franzosische Landschafterschule | Franzosische Meister | Franzosische Schuie | Franzosische Schule | Franzosische Schulen | Franzosischer Bildnismaler | Franzosischer Kunstler | Franzosischer Meister | FranzÃ¶sische Schule | FranzÃ¶sischer Meister | franzosische | franzosische Schule,246
SPANISCH,"Alt-Spanische Schule | Ecole Espagnole | Ecole Espagnole XVII Siecle | Ecole espagnole | Ecole italienne ou espagnole | Ecoles Espagnole et Italienne | SPANISCH | SPANISCHE SCHULE | SPANISCHE SCHULE DES | SPANISCHEN SCHULE | SPANISH SCHOOL | Scuola Spagnola | Scuola Spagnuola | Scuola spagnuola | Spanifche Schule | Spaniiche Schule | Spanisch | Spanische Schule | Spanische Schule, Gothisch | Spanish",211
FRANZOSISCHE SCHULE,FRANKISCHE SCHULE | FRANZESISCHE SCHULE | FRANZOESISCHE SCHULE | FRANZOSISCHE SCHULE | FRANZOSISCHEN SCHULE | FRANZOSISCHESCHULE,208
ECOLE ESPAGNOLE,ECOLE ESPAGNOLE | ECOLE FSPAGNOLE | ECOLE MODERNE | ECOLE PROVENCALE | ECOLE RHENANE,206
ITALIENISCH,ITALIAN | ITALIAN MASTER | ITALIANA | ITALIE | ITALIEN | ITALIENISCH | ITALIENNE | ITALIENNES | Italian | Italien | Italienisch | Italienische | Suditalienisch | italienische,198
ITALIENISCHER MEISTER,ITALIENISCHE KUNSTLER | ITALIENISCHE MEISTER | ITALIENISCHEM MEISTER | ITALIENISCHER (NEAPOLITANISCHER) | ITALIENISCHER BAROCKMALER | ITALIENISCHER DEKORATIVER MEISTER | ITALIENISCHER KOPIST | ITALIENISCHER MANIERIST | ITALIENISCHER MEISTER | ITALIENISCHER RELIGIOSER MALER | ITALIENISCHERBAROCKMEISTER | ITALIENISHER MEISTER | Italienische Meister | Italienischer Meister | Italienischer Meister des Cinquecento | Italienischer Meister des Quatrocento | italienischer Meister,165
HOLLANDISCHER MEISTER,HOLLAENDISCHER MEISTER | HOLLANDICHER MEISTER | HOLLANDISCHER MALER | HOLLANDISCHER MARINEMALER | HOLLANDISCHER MEISTER | HOLLANDISCHER SEEMALER | HOLLANDISCHER STILLEBENMALER | HOLLANDISCHERMEISTER | Hollandische Meister | Hollandischer Meister | Hollandiseher Meister | Hollindische Meister | HollÃ¤ndischer Meister,161
