ZERI,variants,new
,"of the most esteemed fruits at present cultivated in Great Britain:London printed by Bensley, 1817, 2 tomes en 1 vol",False
,de quarante-cinq portraits graves par les premiers artistes de Londres,False
,"des Dix, 19oo, gr",False
,"des Dix, Romagnol, 1go3, in-8, veau fauve, le premier plat orne d'un cuir modele representant un faisceau d'attributs guerriers sur un fond granite, motifs de ferronnerie modeles dans les angles, encadr",False
,"Eclectique, Blaizot, Kieffer, 1912, in-4, mar",False
,"des Dix,19oo,in-8,mar",False
,"1894,T",False
,von Molthein) 105,False
,Stephanik,False
,"en 1904,cet exemplaire produisit flor",False
,"DE PIECES DES XVIeET XVIIe SIECLES, PUIS QUELQUES PIECES DU XVIHIe",False
,"de medailles et de plaquettes publiees par cette societe, puis quelques autres medailles du meme genre",False
,"DE MEDAILLES ET DE MONNAIES EN CUIVRE,du XVIle au XIXe siecle",False
,DE MEDAILLES SE RAPPORTANT AUX ORIENTALES,False
,DE MEREAUX des gildes et corpora tions d'Amsterdam,False
,"d'insignes et de plombs se rapportant a diverses societes et clubs d'Amsterdam,expositions, fetes, etc",False
,"IMPORTANTE DE BEAUX MEREAUX des gildes de Middelbourg, datant du XVIIe siecle",False
,DE CACHETS MATRICES employes,False
,Lobbecke H,False
,Faure Auktion Frankfurt 1913 Nr,False
,Henrici Nr,False
,"di braccialetti, fibbie, ecc",False
,"di bronzi di scavo: idoli, protome di ani mali, specilli, braccialetti, ecc",False
,de Sir Th,False
,de Mr,False
,Villegas,False
,du Dr H,False
,du comte Jerome Possenti de Fabriano),False
,"du marquis Caccialupi de Macerata,achetee par le Rev",False
,P,False
,"du Marquis Caccialupi de Macerata,achetee par le R",False
,Nevin,False
,Martinetti,False
,du celebre sculpteur Prof,False
,"de vingt-cinq pieces:brocs, plats, etc",False
,Spinola,False
,"de manches de couteaux et de canifs en bronze,en os et en ivoire,a motifs de decoration mythologique et chimerique",False
,du duc de Buceleugh a Londres,False
,du Prince Sciarra,False
,"par la vivacite des couleurs, l'expression des regards, la finesse du dessin et le naturel des poses",False
,du marquis Guidi de Faenza,False
,Borghese,False
,Athens,False
,Cairo,False
,London,False
,of M,False
,illustrated in the cata- logue(1907: Tome I; No,False
,),False
,of the Medicis,False
