ZERI,variants,new
,1613,True
,1683,True
,1672,True
,1610,True
,1652,True
,1568,True
,1625,True
,1575,True
,1632,True
,1564,True
,1638,True
,1605,True
,1616,True
,1670,True
,1628,True
,1719,True
,1472,True
,1553,True
,1606,True
,1669,True
,1620,True
,1622,True
,1678,True
,1633,True
,1695,True
,1517,True
,1570,True
,1542,True
,1661,True
,1618,True
,1675,True
,1594,True
,1648,True
,1733,True
,1600,True
,1666,True
,1740,True
,1619,True
,1690,True
,1641,True
,1713,True
,1677,True
,1548,True
,1567,True
,1642,True
,1679,True
,1676,True
,1520,True
,1578,True
,1647,True
,1721,True
,1621,True
,1649,True
,1673,True
,1597,True
,1637,True
,1612,True
,1576,True
,1639,True
,1746,True
,1797,True
,1811,True
,1888,True
,1655,True
,1667,True
,1595,True
,17. Jahrhundert,True
,1590,True
,1630,True
,1589,True
,1662,True
,1700,True
,1763,True
,1640,True
,1691,True
,1627,True
,1532,True
,1603,True
,1566,True
,17. Jahrhundert),True
,1773,True
,1785,True
,1775,True
,1789,True
,1747,True
,1784,True
,1754,True
,1766,True
,1795-1796,True
,1757,True
,1777,True
,1776,True
,1717,True
,1734,True
,1793,True
,1728,True
,1729,True
,1749,True
,1768,True
,1743,True
,1765-1775,True
,1762,True
,1795,True
,1792,True
,1796,True
,1793-1798,True
,1752,True
,1767-1771,True
,1741,True
,1788-1793,True
,1533,True
,1845-1859,True
,1822,True
,1838,True
,1855,True
,1826,True
,1852,True
,1834,True
,1825,True
,1827,True
,1821,True
,1839,True
,1817,True
,1844,True
,1847,True
,1863,True
,1843,True
,1841,True
,1828,True
,1845,True
,1837,True
,1847-1848,True
,1859,True
,1836,True
,1846-1848,True
,1829,True
,1842,True
,1864,True
,1856,True
,1818,True
,1823,True
,1862,True
,1851,True
,1835-1836,True
,1831,True
,1832,True
,1854,True
,1846,True
,1843-1844,True
,1814,True
,1835,True
,1898,True
,1899,True
,1896,True
,1913,True
,1911,True
,1922,True
,1918,True
,1879,True
,1921,True
,1897,True
,1858,True
,1912,True
,1903,True
,1894,True
,1892,True
,1883,True
,1873-1874,True
,1887,True
,1889,True
,1856-1858,True
,1886,True
,1914,True
,1902,True
,1914-1920,True
,1893,True
,1909,True
,1914-1915,True
,1923,True
,1917,True
,1915,True
,1865-1866,True
,1914-1918,True
,1910,True
,1884,True
,1897-1898,True
,1919,True
,1466,True
,1594-1644,True
,1452-1527,True
,1413-1471,True
,1455,True
,1487,True
,1513,True
,1430,True
,1475,True
,1470-1532,True
,1470-1516,True
,1486-1570,True
,1468-1546,True
,1495-1555,True
,1457-1466,True
,1450,True
,1504,True
,1420-1490,True
,1380,True
,1487-1508,True
,1538-1591,True
,1540,True
,1586,True
,1500-1570,True
,1500-1571,True
,1556,True
,1509-1590,True
,1588,True
,1448-1514,True
,1516-1586,True
,1508-1592,True
,1520-1590,True
,1518-1582,True
,1527,True
,1554-1574,True
,1555,True
,1550-1560,True
,1515-1589,True
,1525-1608,True
,1562,True
,1522-1523,True
,1345,True
,1318,True
,1612-1615,True
,1597-1647,True
,1606-1663,True
,1610-1654,True
,1552,True
,siecle. Le,True
,1397-1455,True
,1425-1495,True
,1480,True
,1481,True
,1430-1513,True
,1435,True
,1495,True
,1440-1450,True
,1441-1450,True
,1457,True
,1496-1553,True
,1530,True
,1450-1487,True
,1547,True
,1577,True
,1534-1559,True
,1521,True
,1537-1592,True
,1523-1572,True
,1539,True
,1591,True
,1560,True
,1519,True
,1557-1569,True
,1557,True
,1609-1621,True
,1584-1611,True
,1644,True
,1621-1670,True
,1667-1669,True
,1658-1740,True
,1686,True
,1534-1556,True
,1574,True
,1522,True
,1916,True
,1559,True
,1546-1563,True
,1505-1579,True
,1571-1588,True
,1585,True
,1226,True
,1575-1627,True
,1583,True
,1440,True
,1357,True
,1420,True
,1371,True
,1543,True
,XVI. Jahrhunderts,True
,XVI. Jahrhundert,True
,1511,True
,1536,True
,1575-1602,True
,XVI. Jahrh,True
,1643,True
,1624,True
,1630-1654,True
,1499,True
,1450-1532,True
,15. Jahrhunderts,True
,Jahrhunderts. Der,True
,16. Jahrh,True
,1482,True
,1526,True
,1452-1526,True
,1514,True
,1500,True
,16. Jahrhunderts.Der,True
,16. Jahrhunderts,True
,1005,True
,1012,True
,1041,True
,1070,True
,1072,True
,1546,True
,1113,True
,1162,True
,1214,True
,1579,True
,1486-1579,True
,1271,True
,1293,True
,16. Jahrhundert.),True
,16. Jahrhundert,True
,1529-1549,True
,1523-1546,True
,1572,True
,16. Jahrhunderts.(Nach,True
,Der zwolfjahrige,True
,1610-1618,True
,1596,True
,1614,True
,18.Jahrhundert. Der,True
,18. Jahrhundert,True
,1788-1805,True
,1815,True
,1809,True
,1907,True
,1810,True
,1816,True
,1824,True
,1535,True
,1629,True
,1525,True
,1516,True
,1573,True
,1502,True
,1800,True
,XVIIe siecle,True
,1558,True
,1561,True
,1563,True
,1523,True
,1571,True
,1904,True
,1794,True
,1803,True
,1790,True
,1808,True
,1804,True
,1799,True
,1807,True
,1715,True
,1727,True
,1758,True
,XVIIe SIECLES,True
,1537,True
,1963,True
,1601,True
,1617,True
,1645,True
,1650,True
,1651,True
,1653,True
,1657,True
,1664,True
,1674,True
,1702,True
,1249,True
,1685,True
,1379,True
,1694,True
,1696,True
,1742,True
,1778,True
,1781,True
,1782,True
,1791,True
,1806,True
,1813,True
,1820,True
,1901,True
,"XIXe siecles,en",True
,XIXe siecle.24,True
,1739,True
,XVIIe siecles.-Diverses,True
,XIXe siecle.75,True
,1826-1897,True
,1682,True
,XVIIe siecle.13,True
,XVIIe siecles.-De,True
,1654,True
,XIXe siecle,True
,1506,True
,1001,True
,1772,True
,1738,True
,1607,True
,1425,True
,1587,True
,1802,True
,1117,True
,1840,True
,1849,True
,1755,True
,1460,True
,1491,True
