catalogue_id,prev_num,current_num,title,excerpt,line_start
BO0624_4466,5,7,"Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |","| 7. Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |...",12
BO0624_4466,13,13,"Vaso di forma cilindrica, decorato con figura saera,","| 13. Vaso di forma cilindrica, decorato con figura saera,                                                                                        | Abruzzo       |...",19
BO0624_4466,19,7,Persia,"| 7. Vaso di forma sferica con medaglione ed ornati in colori su fondo bleu, alt. m. 0,31.                                                        | Casteldurante |...",12
BO0624_4466,7,20,"Due vasi con medaghon, majonca al Siciaa","20. Due vasi con medaghon, majonca al Siciaa...",29
BO0624_4466,37,14,no. Gran piatto a sbalzo in terragha bianca Wedarood.,"14. Vaso a due manichi e due medaglioni con figura, e stemma. alt. m. 0,00. Abruzzo...",22
BO0624_4466,14,39,Vaso a forma di civetta (manca la testa). Caffagiolo,39. Vaso a forma di civetta (manca la testa). Caffagiolo...,51
BO0624_4466,56,58,"Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                                                         | 58. Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                              |","| 58. Vaso cilindrico, decorato con fregi e piecolo medaglione.                                                                                                         | 58. Vaso cilindrico, decorato ...",71
BO0624_4466,59,61,"Piccolo vaso con piede, decorato con ornati in colori sopra fondo                                                                                                 |                                                                                                                                            |","| 61. Piccolo vaso con piede, decorato con ornati in colori sopra fondo                                                                                                 |                               ...",74
BO0624_4466,61,63,Due canestrini in terraglia di                                                                                                                                    | Napoli                                                                                                                                     |,| 63. Due canestrini in terraglia di                                                                                                                                    | Napoli                        ...,75
BO0624_4466,68,60,"Paio vesi di forma sferica. decorati con medaglioni. fiori e fogl in colori sopra fondo bleu, alt. m. 0,27 Casteldurante","60. Paio vesi di forma sferica. decorati con medaglioni. fiori e fogl in colori sopra fondo bleu, alt. m. 0,27 Casteldurante...",85
BO0624_4466,60,70,"Vaso di forma sierica, con due medagnon e ornau in colori. la ctelnamante","70. Vaso di forma sierica, con due medagnon e ornau in colori. la ctelnamante...",86
BO0624_4466,72,13,lazza decorata con Amorin. Abruzzo,"| 13. Vaso di forma cilindrica, decorato con figura saera,                                                                                        | Abruzzo       |...",19
BO0624_4466,13,74,Due piatti (Fabb. di Cappelletti). 40razzo,74. Due piatti (Fabb. di Cappelletti). 40razzo...,93
