lot_id,text,author,school,period,object_type
BO0624_83846_lot_1,"PAIRE DE VASES COUVERTS, forme Medicis, en ancien biscuit de Sevres, pate tendre, entierement decores en blanc sur fond bleu clair, de bas-reliefs a sujets mythologiques dans le gout de l'antique; la panse renflee est ornee de feuillages et de rinceaux; le piedouche, a moulures avec canaux, est enrichi d'ornements divers; les anses ajourees sont a double mascaron, et les couvercles a feuilles sont surmontes d'une pomme de pin. Socles en marbre blanc.",,Sèvres,XVIII secolo,coppia di vasi ricoperti
BO0624_83846_lot_2,"COMMODE DU TEMPS DE LOUIS XV, ouvrant a trois tiroirs, en bois de placage.",,,XVIII secolo,commode
BO0624_83846_lot_3,"TABLE A JEU DU TEMPS DE LUOIS XVI, de forme triangulaire, dite chapeau de cure, a quatre pieds, forme gaine, dont un mobile destine a supporter la moitie du dessus se rabattant a charniere.",,,Louis XVI,table à jeu
BO0624_83846_lot_4,"DEUX CONSOLES D'APPUI DU TEMPS DE LOUIS XVI, en bois sculpte dore, composees dans le gout de De Lafosse.",,Goût de De Lafosse,Louis XVI,console d'appui
BO0624_83846_lot_5,"COMMODE DU TEMPS DE LOUIS XVI, en bois de placage, ouvrant a trois tiroirs, avec partie saillante sur le devant",,,XVIII secolo,commode
BO0624_83846_lot_6,"AMEUBLEMENT DE SALON en ancienne tapisserie de la MANUFACTURE ROYALE DE BEAUVAIS, de l'epoque Louis XV, compose de neuf pieces : un canape et huit fauteuils.",,Manufacture Royale de Beauvais,Louis XV,tappezzeria
BO0624_83846_lot_7,"AMEUBLEMENT DE SALON en ancienne tapisserie d'AUBUSSON du temps de Louis XVI, compose de neuf pieces :un canape et huit fauteuils.",,,Louis XVI,tappezzeria (arredamento da salotto - canapé e otto poltrone)
BO0624_83846_lot_8,"AMEUBLEMENT DE SALON LOUIS XVI, en ancienne tapisserie d'AuBussoN, compose d'un canape et six fauteuils a dossier-medaillon.",,,XVIII siècle,mobilier - canapé et fauteuils
BO0624_83846_lot_9,"TAPISSERIE DE LA MANUFACTURE ROYALE DES GOBELINS, du temps de Louis XV, faisant partie de la tenture: L'HISTOIRE DE DON QUICHOTTE",,Manufacture Royale des Gobelins,XVIII secolo (epoca di Luigi XV),tappezzeria
BO0624_83846_lot_10,Suite de quatre Tapisseries anciennes de la MANUFACTURE ROYALE D'AUBUSSON representant : LES PLAISIRS CHAMPETRES,,Manufacture Royale d'Aubusson,,tappezzeria
BO0624_83846_lot_11,Tapisserie ancienne d'AUBUSSON a paysage anime de figures,,,,tappezzeria
BO0624_83846_lot_12,BEYEREN (ECOLE D'ABRAHAM VAN). NATURE MORTE,,Ecole d'Abraham van Beyeren,,Nature morte
