inventario,dc.title,handle,manifest
BO0624_84215,"Catalogue de tableaux anciens et modernes, pastels oeuvres de Ter Borch, J. Boze, ..., dessins des 15., 16., 17., 18. et 19. siècles par Boucher, Cochin, Le Corrège, David, ... miniatures par Charlier, Hall, ..., sculptures antiques, du Moyen âge et de la Renaissance, sculptures du 18. siècle par Chinard, ... objets d'art et d'ameublement ...: dont la vente ... aura lieu à Paris par suite au décès de Madame François Flameng ... les lundi 26 et mardi 27 mai 1919 ...",https://historica.unibo.it/handle/20.500.14008/93596,https://historica.unibo.it/server/iiif/003bf9da-9843-4f24-bd00-2c29c44e1db0/manifest
BO0624_88777,"Gemälde des 19. und 20. Jahrhunderts aus Rheinischem Privatbesitz: Versteigerung: Donnerstag, 6. Juni 1929",https://historica.unibo.it/handle/20.500.14008/94696,https://historica.unibo.it/server/iiif/003c380e-1b56-4dd9-8ffd-0e1b4e24ec7c/manifest
BO0624_84238,"Catalogue des objets d'art et d'ameublement ... sièges et meubles ... tableaux anciens et modernes ... aquarelles, dessins, gouaches ... dont la première vente après décès de M. le Professeur Guyon aura lieu à Paris ... le vendredi 22 et samedi 23 avril 1921 ...",https://historica.unibo.it/handle/20.500.14008/93616,https://historica.unibo.it/server/iiif/0044b925-8802-4be0-9604-ea15cce2ab44/manifest
BO0624_88474,"Sammlung San.-Rat. Dr. Max Marckwald Bad-Kreuznach und Besitz des Herrn Carl von Starck Reichkommissar für die Besetzten Rheinischen Gebiete in Coblenz: Stoffe Möbel Keramik Glas Silberarbeiten Messing Zinn: Gemälde alter Meister: deutsche, englische und französische Graphick ... mit 8 Tafeln Abbildungen [... Versteigerung ... 28 Juni 1921 bis ... 1. Juli 1921]",https://historica.unibo.it/handle/20.500.14008/94453,https://historica.unibo.it/server/iiif/004e55b9-634d-487a-94fe-918eb28a9aa8/manifest
BO0624_84289,"Catalogue des objets d'art et de bel ameublement du 18. siècle, tableaux & pastel, aquarelles, dessins, gouaches, estampes en couleurs, sculptures, porcelaines montées, bronzes d'ameublement ... composant l'importante collection de M. Paul Dutasta: jeudi 3 et vendredi 4 juin 1926",https://historica.unibo.it/handle/20.500.14008/93653,https://historica.unibo.it/server/iiif/0064d075-aa0b-42b0-9564-552fbbe1753e/manifest
BO0624_88503,"Nachlass Professor Franz Simm ...: 300 Gemälde und Aquarelle des Künstlers, Gemälde neuerer Meister, reichhaltige Kostümsammlung ... [Versteigerung: Frankfurt, 20 Mai 1922",https://historica.unibo.it/handle/20.500.14008/94479,https://historica.unibo.it/server/iiif/0071273d-c532-4b65-ac22-3357c6cc15ec/manifest
BO0624_88126,"Antiquitäten Kunst- und Einrichtungsgegenstände (ostasiatisches Kunstgewerbe ...) aus den Nachlässen Konservator H. Bever, München und Reichsmilitärgerichtsrat a. D. Max Stahl, München u. a.: Auktion in München in der Galerie Helbing ... den 10. Juni und ... den 11. Juni 1913",https://historica.unibo.it/handle/20.500.14008/94192,https://historica.unibo.it/server/iiif/008038ca-d9e6-4df6-8827-d6ea193d410e/manifest
BO0624_81915,"Catalogo della vendita all'asta della raccolta Orsini: Galleria Lurati, Milano: commissario di vendita: Gino Canetta",https://historica.unibo.it/handle/20.500.14008/92957,https://historica.unibo.it/server/iiif/00af6f11-e20b-4e40-80da-6a265fe6f49e/manifest
BO0624_83865,"Catalogue des tableaux modernes, aquarelles et dessins par J. Bail, Bonnat, A. Brouillet, Chaplin, Chrétien, Dagnan-Bouveret, Delort ... objets d'art et d'ameublement ...: vendredi 7 et samedi 8 décembre 1906",https://historica.unibo.it/handle/20.500.14008/93340,https://historica.unibo.it/server/iiif/00c31f49-d8ed-4152-a788-dff5f3916b03/manifest
BO0624_83664,Catalogue des 88 tableaux de Monticelli et des tableaux anciens & modernes ... composant la collection de M. le Docteur Mireur: mercredi 28 ... vendredi 30 mars 1900,https://historica.unibo.it/handle/20.500.14008/93252,https://historica.unibo.it/server/iiif/00c41d6a-598a-4c1b-a16b-5373477d01ec/manifest
BO0624_88716,Antiquitäten Gemälde alter Meister: Handzeichnungen,https://historica.unibo.it/handle/20.500.14008/94643,https://historica.unibo.it/server/iiif/00d26b4c-0eed-41bc-b3bb-da3aac1d3759/manifest
