URI,label,type,wikidata_id,wikidata_label,wikidata_description,match_type
http://w3id.org/zac/hôtel_drouot,Hôtel Drouot,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q3145483,Hôtel Drouot,Paris auction house,label
http://w3id.org/zac/impresa_di_vendite_di_raffaele_dura,Impresa di vendite di Raffaele Dura,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/heinrich_gottlob_gutekunst,Heinrich Gottlob Gutekunst,http://www.cidoc-crm.org/cidoc-crm/E21_Person,Q94788694,H. G. Gutekunst,,alias
http://w3id.org/zac/heinrich_gottlob_gutekunst,Heinrich Gottlob Gutekunst,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q94788694,H. G. Gutekunst,,alias
http://w3id.org/zac/impresa_di_vendite_giulio_sambon,Impresa di vendite Giulio Sambon,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/heberle_h_lempertz_söhne,Heberle H. Lempertz' Söhne,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/heberle_h_lempertz_söhne,Heberle H. Lempertz' Söhne,http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/kunst-auktions-haus_georg_mössel,Kunst-Auktions-Haus Georg Mössel,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/albert_duss,Albert Duss,http://www.cidoc-crm.org/cidoc-crm/E21_Person,Q125907774,Albert Dussuel,,label
http://w3id.org/zac/gutekunst,Gutekunst,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q37048725,Gutekunst,family name,label
http://w3id.org/zac/lempertz_antiquariat,Lempertz' Antiquariat,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/hanstein_m_lempertz_antiquariat,Hanstein M. Lempertz' Antiquariat,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_sedelmeyer,Galerie Sedelmeyer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q131763890,"Galerie Sedelmeyer, Paris",former art gallery of Charles Sedelmeyer in Paris,label
http://w3id.org/zac/galerie_georges_petit,Galerie Georges Petit,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q18662018,Galerie Georges Petit,"French art gallery, auction house and publisher",label
http://w3id.org/zac/galerie_georges_petit,Galerie Georges Petit,http://www.cidoc-crm.org/cidoc-crm/E21_Person,Q18662018,Galerie Georges Petit,"French art gallery, auction house and publisher",label
http://w3id.org/zac/rudolf_bangel,Rudolf Bangel,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q117101616,Rudolf Bangel Auction House,,label
http://w3id.org/zac/petit_georges,"Petit, Georges",http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/maurer_carl,"Maurer, Carl",http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/maurer_carl,"Maurer, Carl",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/rudolph_lepkes_kunst-auctions-haus,Rudolph Lepke's Kunst-Auctions-Haus,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q20054452,Rudolph Lepke’s Kunst-Auctions-Haus,auction house,label
http://w3id.org/zac/galleria_sangiorgi,Galleria Sangiorgi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/giacomini_and_capobianchi,Giacomini & Capobianchi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/impresa_di_vendite_in_milano_di_a_genolini,Impresa di vendite in Milano di A. Genolini,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/sangiorgi_giuseppe,"Sangiorgi, Giuseppe",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/sangiorgi_giuseppe,"Sangiorgi, Giuseppe",http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/hugo_helbing,Hugo Helbing,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q15550099,Hugo Helbing,"German art dealer and auctioneer, dispossessed and murdered by Nazis (1863-1938)",label
http://w3id.org/zac/j_grünfeld,J. Grünfeld,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_helbing,Galerie Helbing,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q15550099,Hugo Helbing,"German art dealer and auctioneer, dispossessed and murdered by Nazis (1863-1938)",alias
http://w3id.org/zac/carl_offermann_and_co,Carl Offermann & Co.,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/f_j_weissweiler,F. J. Weissweiler,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/fleischmann_e_a,"Fleischmann, E. A.",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/salle_sainte-gudule,Salle Sainte-Gudule,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/max_cramer,Max Cramer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q130769608,Max Cramer,,label
http://w3id.org/zac/de_brakke_grond,De Brakke Grond,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q2155935,De Brakke Grond,former auction hall and theatre in Amsterdam,label
http://w3id.org/zac/hirth_georg,"Hirth, Georg",http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q103932553,"Hirth, Georg",encyclopedia article,label
http://w3id.org/zac/frederik_muller_and_cie,Frederik Muller & Cie,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q18821838,Frederik Muller & Co,"art auction house and art history publisher in Amsterdam, owned from 1899 by Anton Mensing",alias
http://w3id.org/zac/frederik_muller_and_cie,Frederik Muller & C.ie,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/rudolph_lepke,Rudolph Lepke,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q2174442,Rudolph Lepke,German art dealer (1845-1904),label
http://w3id.org/zac/albert_riegner,Albert Riegner,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q130784269,Albert Riegner,,label
