catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type
BO0624_44697,190541,1,1,SALIERE ancienne en etain.,3.0,92.9,False,positional,,,ETAINS
BO0624_44697,190542,2,2,SALIERE en etain.Epoque Louis XVI.,4.0,95.8,False,positional,,,ETAINS
BO0624_44697,190543,3,3,POIVRIERE en etain. Epoque Empire.,5.0,95.8,False,positional,,,ETAINS
BO0624_44697,190544,4,4,MOUTARDIER en etain. Epoque Louis XIll.,6.0,96.3,False,positional,,,ETAINS
BO0624_44697,190545,5,5,BEAUX MOUTARDIER ET POIVRIERE en etain. Decor de guirlandes et de medaillons. Epoque Louis xVI.,8.0,65.7,False,positional,,,ETAINS
BO0624_44697,190546,6,6,ENCRIER en etain. Epoque Regence.,9.0,95.7,False,positional,,,ETAINS
BO0624_44697,190547,7,7,"BEAU NECESSAIRE DE TABLE en etain, groupant un huilier a burettes anciennes en cristal, et une poivriere. Epoque Louis XIV.",10.0,98.0,False,positional,,,ETAINS
BO0624_44697,190548,8,8,"BEAU HUILIER en etain, avec burettes anciennes. Epoque Louis XIV.",11.0,96.2,False,positional,,,ETAINS
BO0624_44697,190549,9,9,BEAU HUILIER en etain. Avec burettes anciennes. Epoque Louis XVI.,12.0,88.5,False,positional,,,ETAINS
BO0624_44697,190550,10,10,DEUX HUILIERS analogues au precedent. A diviser.,14.0,85.4,False,positional,,,ETAINS
BO0624_44697,190551,11,11,GRANDE THEIERE ancienne en etain.,16.0,94.3,False,positional,,,ETAINS
BO0624_44697,190552,12,12,BEAU POT ancien a couvercle en etain.,17.0,94.9,False,positional,,,ETAINS
BO0624_44697,190553,13,13,BEAU POT analogue au precedent.,18.0,91.2,False,positional,,,ETAINS
BO0624_44697,190554,14,14,BEAU POT analogue aux precedents.,19.0,91.7,False,positional,,,ETAINS
BO0624_44697,190555,15,15,BEAU PLAT ancien en etain.Larges bords plats.,20.0,95.7,False,positional,,,ETAINS
BO0624_44697,190556,16,16,BEAU PLAT ancien en etain.,21.0,92.9,False,positional,,,ETAINS
BO0624_44697,190557,17,17,BEAU PLAT analogue au precedent.,22.0,94.1,False,positional,,,ETAINS
BO0624_44697,190558,18,18,BEAU PLAT creux en etain. Date 1790.,23.0,94.7,False,positional,,,ETAINS
BO0624_44697,190559,19,19,BEAU PLAT ancien en etain. Marli creux.,24.0,95.1,False,positional,,,ETAINS
BO0624_44697,190560,20,20,BEAU PLAT a ombilic en etain. Marli poinconne. Epoque LouisXIll.,25.0,97.0,False,positional,,,ETAINS
BO0624_44697,190561,21,21,PAIRE DE CHANDELIERS a cotes torses et munis de bobeches en etain.Epoque Louis Xv. H.0.28,26.0,97.8,False,positional,,,ETAINS
BO0624_44697,190562,22,22,LAMPE a huile (Crasset) en etain.,27.0,91.7,False,positional,,,ETAINS
BO0624_44697,190563,23,23,VERRE octogonal en cristal.,30.0,93.1,False,title_direct,,,VERRES
BO0624_44697,190564,24,24,PAIRE DE VERRES en cristal. Torsades au pied.,31.0,95.7,False,title_direct,,,VERRES
BO0624_44697,190565,25,25,DOUBLE FLACON sur pied en verre ancien.,32.0,95.1,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190566,26,26,DEUX GRANDES CARAFES en cristal taille. Epoque Louis- Philippe.,33.0,88.3,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190567,27,27,VERRE A COUVERCLE en cristal taille et grave.,38.0,95.7,False,title_direct,,,VERRES
BO0624_44697,190568,28,28,PAIRE DE MOUTARDIERS en cristal taille. Epoque Louis-Philippe.,39.0,96.9,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190569,29,29,BEAU VERRE ancien a decor grave. Torsade blanche au pied.,40.0,96.6,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190570,30,30,"VERRE en cristal taille et grave (initiales), provenant du service du roi Louis-Philippe au chateau d'Amboise.",41.0,98.2,False,title_direct,,,VERRES
BO0624_44697,190571,31,31,DEUX VERRES anciens. Torsades blanches au pied.,42.0,95.9,False,title_direct,,,VERRES
BO0624_44697,190572,32,32,TROIS VERRES anciens en cristal. Differents decors dores.,43.0,96.6,False,title_direct,,,VERRES
BO0624_44697,190573,33,33,"SIx VERRES anciens de forme allongee et a bords évases, en cristal taille.",44.0,85.3,False,title_direct,,,VERRES
BO0624_44697,190574,34,34,"DIX VERRES a champagne, a pied carre en cristal taille.",46.0,96.5,False,title_direct,,,VERRES
BO0624_44697,190575,35,35,"ONZE VERRES a champagne, en cristal taille et grave. Decor de guirlandes de ceps de vigne.",47.0,97.8,False,title_direct,,,VERRES
BO0624_44697,190576,36,36,GRAND HANAP en verre grave. Pied decoupe. Decor d’armoiries.,48.0,96.8,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190577,37,37,BOITE A THE en cristal. Decor grave de medaillons et d'ornements.,49.0,97.0,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190578,38,38,PETIT PLATEAU creux en cristal taille. Bords dores.XVIlle siecle.,50.0,97.0,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190579,39,39,"PETIT PLATEAU creux en cristal taille. Au centre, medaillon dore sur fond rouge. xvllle siecle.",51.0,97.9,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190580,40,40,PAIRE DE SUCRIERS a couvercle et a deux anses en cristal taille. XVllle siecle.,52.0,97.5,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190581,41,41,PAIRE DE PETITS SUCRIERS a couvercle en cristal taille. Epoque Louis-Philippe.,53.0,97.5,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190582,42,42,SUCRIER a couvercle en cristal. Epoque Louis-Philippe.,54.0,96.4,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190583,43,43,PETIT COMPOTIERa couvercle en cristal taille. Epoque Louis XIV.,55.0,96.9,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190584,44,44,PETIT PANIER contenant quatre verres anciens en cristal taille. Bordures d'or.,56.0,97.5,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190585,45,45,"PAIRE DE TRES BELLES BOUTEILLES liegeoises anciennes, en verre grave.",60.0,97.2,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190586,46,46,"BELLE ET GRANDE BOUTEILLE a cinq compartiments et cinq bouchons, en cristal taille. Epoque Empire.",61.0,98.0,False,positional,,,VERRES; CRISTAUX
BO0624_44697,190587,47,47,PETIT POT a pied en faience ancienne. Decor bleu de cartouche avec inscription.,102.0,86.1,False,positional,,,POTS DE PHARMACIE
BO0624_44697,190588,48,48,DEUX POTS de pharmacie en faience ancienne (Delft?). Decor bleu de cartouche avec inscription.,108.0,66.0,False,positional,,,POTS DE PHARMACIE
BO0624_44697,190589,49,49,"GRAND POT de pharmacie,de forme cylindrique,en faience ancienne de Delft. Decor bleu de cartouche, surmonte d'oiseaux et portant l'inscription 《 Corenten 》",129.0,66.7,False,positional,,,POTS DE PHARMACIE
BO0624_44697,190590,50,50,"GRAND POT de pharmacie, de forme cylindrique, en faience ancienne. Cartouche de style Berain avec inscription. H.0.315 Restaure.",,50.3,True,none,,,
BO0624_44697,190591,51,51,"BEAU FILTRE de pharmacien en faience ancienne de Saint-Amand. Decor de scenes maritimes et de fleurs, sur un fond 《bianco LL.NO1",163.0,68.6,False,positional,,,FAIENCES
BO0624_44697,190592,52,52,"TROIS POTS de pharmacie en faience ancienne. Decor bleu] de cartouches et de guirlandes, Louis XVI.",,56.7,True,none,,,
BO0624_44697,190593,53,53,UN POT de pharmacie en faience ancienne. Decor bleu de cartouche avec inscription.,943.0,62.0,False,positional,,,PIECES DE FORME; POTICHES
BO0624_44697,190594,54,54,PAIRE DE PETITS POTS de pharmacie en faience ancienne. Decor manganese et bleu de cartouches et d'inscriptions.,,58.3,True,none,,,
BO0624_44697,190595,55,55,"POT de pharmacie en ancienne faience italienne. Decor bleu de fausses cannelures, d'ornements a la Berain et d'inscriptions. LL.NO2",,57.0,True,none,,,
BO0624_44697,190596,56,56,POT de pharmacie en ancienne faience italienne. Decor bleu de banderole et de semis sur fond bleuatre.,,58.5,True,none,,,
BO0624_44697,190597,57,57,PAIRE DE POTS de pharmacie en faience ancienne. Decor bleu de cartouches surmontes d'oiseaux et d'inscriptions.,1013.0,68.3,False,positional,,,PIECES DE FORME; POTICHES
BO0624_44697,190598,58,58,POT a pharmacie en faience italienne. Decor de banderole sur fond marbre.,,51.3,True,none,,,
BO0624_44697,190599,59,59,PoT a pharmacie en faience ancienne. Decor bleu de cartouche surmonte de poissons et d'inscription.,,55.6,True,none,,,
BO0624_44697,190600,60,60,SALIERE RONDE EN FAIENCE de Saint-Amand. Decor poly- chrome de fleurs.,,43.6,True,title_direct,,,FAIENCES
BO0624_44697,190601,61,61,ASSIETTE EN FAIENCE de Saint-Amand. Decor polychrome de branches de lilas sur un fond &lt; bianco sopra bianco &gt;.,,48.8,True,title_direct,,,ASSIETTES
BO0624_44697,190602,62,62,ASSIETTE EN FAIENCE de Saint-Amand. Décor polychrome de fleurs et de fleurettes sur un fond &lt; bianco sopra bianco 》. D.0.225,,49.5,True,title_direct,,,ASSIETTES
BO0624_44697,190603,63,63,QUATRE ASSIETTES EN FAIENCE de Saint-Amand. Decor polychrome de fleurs sur un fond 《 bianco sopra bianco 》. D.0.23,,50.3,True,title_direct,,,ASSIETTES
BO0624_44697,190604,64,64,BEURRIER a couvercle en faience de Saint-Amand. Decor de fleurs en camaieu vert.,,57.1,True,none,,,
BO0624_44697,190605,65,65,BUIRE en faience de Saint-Amand. Decor bleu de fleurs sur un fond《bianco sopra bianco 》.,1151.0,60.4,False,positional,,DELFT,CHEVAUX
BO0624_44697,190606,66,66,PAIRE D'ASSIETTES en faience de Saint-Amand. Decor bleu de fleurs sur un fond 《 bianco sopra bianco 》. D.0.23,,50.5,True,title_direct,,,ASSIETTES
BO0624_44697,190607,67,67,SALADIER en faience de Saint-Amand. Decor polychrome de branches de lilas sur un fond 《bianco sopra bianco 》. Fele. D.0.245,,53.4,True,none,,,
BO0624_44697,190608,68,68,SALADIER en faience de Saint-Amand. Decor bleu de bouquets de fleurs sur un fond 《bianco sopra bianco 》.,,56.3,True,none,,,
BO0624_44697,190609,69,69,CACHE-POT cylindrique a oreilles en faience de Saint-Amand. Decor bleu de guirlandes et de fleurs 《bianco sopra bianco 》.,,53.6,True,none,,,
BO0624_44697,190610,70,70,MOUTARDIER representant un personnage assis sur une cuve. Faience francaise polychrome.,,43.9,True,none,,,
BO0624_44697,190611,71,71,CANNETTE en faience francaise. Decor polychrome de fleurs et de panneaux d'ornements. Monture en etain.,,51.4,True,none,,,
BO0624_44697,190612,72,72,"PLAT en faience de Lille. Decor polychrome, au centre d'un arbre fleuri et au marli de cinq compartiments sur fond quadrillonne. LL.NO3",,57.3,True,title_direct,,,PLATS
BO0624_44697,190613,73,73,"GOURDE a double panse en faience francaise.Decor polychrome d'une scene de chasse et de fleurs. Marque:Artois, 1746. Pour ce numero et les quatre suivants, voir illustration n 3.",,53.0,True,none,,,
BO0624_44697,190614,74,74,ASSIETTE en faience de Tournai ou de Saint-Amand. Decor polychrome de fleurs sur un fond 《 bianco sopra bianco 》。 Marli festonne.,,51.0,True,title_direct,,,ASSIETTES
BO0624_44697,190615,75,75,BEAU BASSIN AVEC AIGUIERE en faience de Saint-Amand. Decor de fleurs sur un fond 《 bianco sopra bianco 》. Cheveux au bassin et a la base de l'aiguiere.,,52.5,True,none,,,
BO0624_44697,190616,76,76,ENCRIER en faience de Saint-Amand. Decor polychrome de fleurs sur un fond orne de branches 《 bianco sopra bianco 》.,,55.0,True,none,,,
BO0624_44697,190617,77,77,CANNETTE en faience de Rouen. Decor polychrome de lambrequins fleuris. Monture en etain. LL.NO4,,56.9,True,none,,,
BO0624_44697,190618,78,78,ASSIETTE en faience de Rouen. Decor polychrome au centre d'un carquois et au marli de lambrequins. Marque Gaudin.,,52.3,True,title_direct,,,ASSIETTES
BO0624_44697,190619,79,79,"PAIRE DE CHANDELIERS en faience de Strasbourg,a decor polychrome. lls representent des chats accroches a des arbres.",,50.5,True,none,,,
BO0624_44697,190620,80,80,"PLAT en poterie ancienne, offrant un navire et des fleurs polychromes sur une epaisse couverte 《 bleu-nevers 》.",,49.3,True,title_direct,,,PLATS
BO0624_44697,190621,81,81,PLAT en faience de Rouen.Decor en plein et polychrome d'oiseaux perches et d'une corne d'abondance. Marque H. C. D.0.30,,50.0,True,title_direct,,,PLATS
BO0624_44697,190622,82,82,"PLAT en faience de Lille. Decor polychrome au centre d'oiseau perche sur un arbre fleuri, et au marli de trois branches.",1186.0,62.6,False,title_direct,,,PLATS
BO0624_44697,190623,83,83,"GRAND PLAT en faience de Lille. Decor polychrome, au centre de plantes et de fleurs, et au marli de lambrequins et de fleurs.",,54.6,True,none,,,
BO0624_44697,190624,84,84,"PLAT en faience du nord de la France. Decor polychrome, au centre d'un arbre fleuri, et au marli de trois branches et de trois reserves quadrillees.",1226.0,60.1,False,title_direct,,,PLATS
BO0624_44697,190625,85,85,"GRAND PLAT en faience francaise. Decor a limitation de la faience de Delft, au centre d'un bouquet, et au marli de bouquets et de lambrequins.",,57.6,True,none,,,
BO0624_44697,190626,86,86,CACHE-POT a deux anses en faience francaise Decor polychrome de scenes chinoises sur fond cotele. H.0.18.D.0.22 Restaure.,,48.9,True,none,,,
