catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type,collection,period
BO0624_83757,112220,1,1,BEECHEY. L'Enfant au chat.,14,76.2,False,positional,BEECHEY (Sir W.),,,,
BO0624_83757,112221,2,2,BOILLY. Portrait de jeune femme.,25,87.3,False,positional,BOILLY (Louis-Léopold),,,,
BO0624_83757,112222,3,3,"BONINGTON, R.-P. Esquisse d’un plafond.",32,75.9,False,title_direct,BONINGTON (R.-P.),,,,
BO0624_83757,112223,4,4,"BONINGTON, R.-P. La Plage.",37,74.3,False,title_direct,BONINGTON (R.-P.),,,,
BO0624_83757,112224,5,5,"BONINGTON, R.-P. Marine. A marée basse.",49,71.4,False,title_direct,BONINGTON (R.-P.),,,,
BO0624_83757,112225,6,6,"BONINGTON, R.-P. La Maree montante.",57,72.0,False,title_direct,BONINGTON (R.-P.),,,,
BO0624_83757,112226,7,7,"DAVID, Jacques-Louis. Portrait de jeune femme.",62,70.6,False,title_direct,DAVID (Jacques-Louis),,,,
BO0624_83757,112227,8,8,"DESPORTES, Francois. Fleurs,fruits et gibier.",69,70.8,False,title_direct,DESPORTES (Francois),,,,
BO0624_83757,112228,9,9,Flinck-Govaert. 1615-1665. Le Frere et la soeur.,81,62.7,False,positional,FLINCK-GOVAERT,,,,Sec. XVII
BO0624_83757,112229,10,10,"Greuze, Jean-Baptiste. Portrait de Franklin.",92,65.6,False,positional,GREUZE (Jean-Baptiste),,,,
BO0624_83757,112230,11,11,"LARGILLIERE, N. de. Portrait du comte de Noirmont.",101,72.5,False,title_direct,LARGILLIERE (N. de),,,,
BO0624_83757,112231,12,12,"LARGILLIERE, N. de. Portrait de la marquise de Cailly",110,50.8,False,title_direct,LARGILLIERE (N. de),,,,
BO0624_83757,112232,13,13,"LARGILLIERE, N. de. Portrait d'un poete lyrique.",123,76.3,False,title_direct,LARGILLIERE (N. de),,,,
BO0624_83757,112233,14,14,"LARGILLIERE, N. de. Portrait d'un échevin.",133,64.5,False,title_direct,LARGILLIERE (N. de),,,,
BO0624_83757,112234,15,15,"LAWRENCE, Sir Th. Portrait de Miss Anna Byron, fille de lord",142,83.5,False,title_direct,LAWRENCE (Sir Th.),,,,
BO0624_83757,112235,16,16,Lèpicie. L'Enfant au chapeau noir.,155,85.7,False,positional,LEPICIE (Attribue a Nicolas-Bernard),,,,
BO0624_83757,112236,17,17,"Van Loo, Michel. Portrait présume d'un ambassadeur de France prés la cour d'Espagne.",163,60.0,False,positional,VAN LOO (Michel),,,,
BO0624_83757,112237,18,18,Oudry. Apres la chasse.,172,82.1,False,positional,OUDRY(J.-B.),,,,
BO0624_83757,112238,19,19,Pèrin. L'Attente.,181,62.1,False,positional,PERIN (Lie-Louis),,,,
BO0624_83757,112239,20,20,"Perronneau, Jean-Baptiste. Portrait d'un conseiller au Parlement.",190,74.5,False,positional,PERRONNEAU Jean-Baptiste),,,,
BO0624_83757,112240,21,21,Pourbus Le Vieux. Portrait présumé du duc de Guise.,202,71.4,False,positional,POURBUS LE VIEUX,,,,
BO0624_83757,112241,22,22,"PRUD'HON, Pierre-Paul. Psyche.",207,85.1,False,title_direct,PRUD'HON (Pierre-Paul),,,,
BO0624_83757,112242,23,23,"REMBRANDT, Ecole de. La Lecture de la Bible.",220,69.7,False,title_direct,REMBRANDT VAN RIJN,REMBRANDT (Ecole de),,,
BO0624_83757,112243,24,24,"Ricci, Sebastian. Meurtre des grands pretres pres de lautel des faux dieux.",227,87.0,False,positional,RICCI (Sebastien),,,,
BO0624_83757,112244,25,25,"Troy, J-F. de. Portrait d'un magistrat,",235,78.7,False,positional,TROY (J.-F. de),,,,
BO0624_83757,112245,26,26,"Vestier, Antoine. Portrait de femme.",246,64.2,False,positional,VESTIER(Antoine),,,,
BO0624_83757,112246,27,27,"VESTIER, Antoine. Portrait d'homme.",256,66.7,False,title_direct,VESTIER (Antoine),,,,
